Year,Season,blueTeamTag,bResult,redTeamTag,gamelength,game_id
2014,Summer,FNC,0,LMQ,38,b268e6ec-5945-47e0-ace0-0acbfd9f0e8a
2015,Summer,MSE,0,HKE,39,2181267e-f778-4455-a1b7-fccbfbdcb208
2015,Summer,HKE,1,TPA,35,6b352e40-3a71-4fd2-995e-d8dabedbd418
2015,Summer,OHM,0,BJK,35,4548fc52-37c0-44c7-9f58-3fe9ff4d9c74
2016,Summer,TM,0,FW,39,0bd396ea-01e7-435d-a2ca-471f6873d07d
2016,Spring,JAG,0,ROX,38,1d97f18a-3564-4b24-97be-9f194a366dfd
2015,Summer,SSG,1,Xenics,37,342277bc-0a18-47a0-9886-490b8ce61d90
2016,Summer,kt,0,ROX,33,d20f6652-80f0-469e-b0cb-198ef8e8637b
2016,Spring,DW,0,AV,29,380a517a-6087-4a35-9e1d-66c348f6de3f
2016,Summer,ROC,0,UOL,34,36b4d181-b649-4ad5-87f4-544c5d1fb5c1
2014,Summer,NWS,1,C9,42,85e24a8a-628d-46cb-b08c-f777da3319ef
2015,Spring,TL,1,CLG,43,67c04de5-f18f-4fce-b6bb-61c61f08659d
2016,Spring,HR,0,EMP,24,d835d587-8728-4c49-a5d3-12700f172cff
2016,Summer,ROC,1,SPY,39,3d8c14c4-8f09-4d28-8be4-d39119da496d
2016,Spring,CGE,1,XG,63,f5d23c9e-9ff6-431a-8f05-2f7d0b2f20cb
2016,Summer,TSM,0,C9,40,f33cfdba-91c0-49c4-8556-d2fe201cad88
2016,Summer,AV,1,AE,32,e06ed5bc-5b54-4cf6-a776-1b5665eb3fec
2016,Summer,P1,1,APX,39,37255780-632c-478b-ba27-2c1c3360391a
2016,Summer,LZ,1,ESC,32,1ba6a610-77ed-47e0-b934-7a5a97dc23bd
2015,Spring,CJE,1,SKT,32,ff8ab1c3-2dca-4009-9956-b7e109ebe97a
2016,Spring,KDM,1,kt,40,87239a0d-afb2-46d5-967b-beca3f279459
2016,Summer,HWA,0,TT,32,faba460a-b5e9-47fa-894d-3526a8181261
2015,Spring,ahq,1,FW,37,9ff033b6-fb91-4495-aef9-5a1092639768
2016,Spring,UOL,0,H2K,50,af030f51-d182-4208-8c42-71085bb694c3
2016,Spring,EMF,0,JAG,39,8332ac75-6aa4-426f-a393-581affcfba2c
2015,Summer,DP,1,HWA,31,f6b990a5-c083-4099-b784-b8d58e159ca5
2016,Spring,EMF,0,kt,30,049fad52-a9d9-4408-87cf-7df97b287551
2015,Summer,HKE,0,FW,32,bebf0af3-2778-48b9-981f-067100e35887
2014,Summer,SSW,1,AHQ,23,a5ae7168-bc9e-4269-a768-aec65be0883c
2015,Summer,NJE,0,ANC,43,6f906e15-8e80-4d54-a925-b7b89d88f0ee
2016,Spring,SUP,0,AUR,49,416b592e-6cda-4fa5-956e-d703940b9ec4
2015,Summer,OG,1,ROC,38,1233328b-2d9d-4461-b8e2-fa7dc881c7cd
2016,Summer,TM,0,LGC,45,e2d64604-9bd0-4688-8472-7c78ca5f3365
2015,Summer,LZ,0,JAG,33,da8de63e-9f7d-42af-aac6-f3895140a90d
2016,Summer,SUP,0,DP,27,5d9bec1d-96cd-4b13-b551-3ea28c28e0f2
2016,Summer,TL,0,NV,35,9574a999-7162-424f-9dff-0ec56aa9629b
2015,Summer,FNC,1,C9,23,1f9f140e-17cc-45f8-8fdc-737cd25f923e
2015,Spring,CST,0,FSN,38,59b9b52d-868d-45ea-943e-d75db3b04229
2016,Summer,C9,0,APX,60,dcc6d18c-ff98-4cc9-9d4b-c5a821e749c6
2015,Summer,C9,0,GV,41,34fddf55-9845-45b1-a6b2-c1be4c02910e
2016,Spring,SPY,0,OG,43,7d912ebd-5eb0-4274-a364-5fe1878c427c
2016,Summer,kt,0,AFs,38,a6168d3a-7aae-4bde-8712-70b34884bb1f
2015,Spring,FSN,1,CST,57,ee5ebe42-66df-493c-b01b-4f76c0ad7d83
2015,Summer,kt,0,NJE,45,d4e5a4e6-dd92-402f-84c0-bf116af8ee26
2016,Summer,CLK,1,BJK,39,cd78ec8c-94d1-4b06-a493-5a248bb97bb7
2016,Spring,CLG,0,FNC,59,ed706459-41aa-47d8-88a9-bc5a54feebbc
2015,Spring,WE,1,GET,30,077bad19-9a5e-4af1-b725-2b90d6f3a7bb
2015,Summer,CLG,0,TIP,40,8ccde2c2-7572-48ac-9238-5f9d0700cc91
2016,Spring,ROX,1,EMF,36,a72ecfdf-ef2d-41b6-8b1b-f8a6b5f97776
2016,Spring,AFs,0,kt,40,f4d1797f-a503-4d51-9c49-f5d1f9196ca8
2015,Spring,MYM,0,GIA,47,8d74e033-372b-4336-b297-96579407f681
2016,Summer,HKE,0,ahq,40,c1591e1e-3ed2-4f14-94e5-50913e378810
2015,Spring,NJE,1,IM,56,2ac5fc32-3bb7-455e-8af2-e7b32cc74a44
2016,Summer,H2K,1,FNC,35,b1e7068d-04a8-454b-99aa-13585941063e
2016,Spring,SSB,1,EMF,35,fc020571-4a15-4dde-be0c-da7ef16d32f1
2016,Summer,TL,1,P1,29,b1abd2ec-f9a7-4f30-9b6b-e375ea1362db
2016,Spring,FNC,1,SPY,40,6f779871-052a-4084-9b14-4d38b602f3b5
2016,Summer,ITZ,1,PNG,37,5815cf87-38bb-4617-aaa9-445537a73fe2
2015,Spring,ROC,1,GIA,41,727a1d84-e423-456d-a580-6d03f8786336
2016,Spring,VS,1,ROX,35,f0ba44a2-ccec-4faf-9211-81ef77c7bb9a
2016,Summer,CLK,0,HWA,21,cff071df-464c-48c9-b2d3-f4408f8c660a
2015,Spring,A,0,DP,34,3b91702b-047d-46c0-8d3b-5bc606a8038b
2015,Spring,SKT,1,IM,30,78f5ab78-8da4-47b7-82ef-1a06490b2e5c
2016,Spring,TPA,1,M17,53,e51c9632-315e-43c0-b17a-2bc076ffb889
2016,Spring,XG,1,CGE,22,f9effdcd-22ca-4020-98de-42744d81399f
2015,Summer,SKT,1,ANC,42,cd8db476-235d-4eb4-9ca8-567b2580813a
2015,Summer,Mac,1,AS,44,fb177fb4-cbd6-42d8-8290-57f7d0fe5eb1
2016,Spring,MSE,0,ahq,44,5553a325-9d0e-47b6-b377-012469127b5c
2016,Summer,IMT,1,NV,32,5fcf50aa-6141-4054-8de7-880107c92ef6
2016,Summer,TM,0,XG,37,e2780896-0da5-4312-9ff8-178064457c48
2016,Spring,SKT,1,ROX,29,72559498-a70f-4fb6-b6ff-32d00bca9587
2016,Summer,ROX,1,MVP,32,f5fcc44d-c533-47ef-9ef7-aef01179c910
2015,Spring,DoR,0,ahq,33,96bfe8ed-9241-4587-a27e-2ccd1f0626bb
2016,Spring,kt,0,SKT,30,58a38df1-4398-406f-ad63-9c3655544c04
2015,Summer,AS,0,TPA,37,fdac7dad-336b-442b-a8a0-51a3d59950a6
2015,Summer,T8,0,TL,42,d42e274c-89e0-4b30-89c5-af453f8d0eff
2016,Summer,H2K,0,G2,25,cf49d6e6-7ef3-4330-be05-cdd63f8ef55d
2016,Summer,SIN,0,TM,36,df6e8d85-8962-4cc4-83a9-9ba78373bd4c
2015,Summer,UOL,0,GIA,43,49ae3baf-b028-4142-b52c-c6b8333db00f
2016,Spring,VFK,1,CNB,47,d623bd2a-fcb7-4833-a5dc-6b594b32a03a
2016,Summer,JST,0,ROX,34,e7725b29-3ce2-4933-9632-a5d5cf17700c
2016,Spring,HWA,1,BJK,31,a6b010ca-e951-4d5b-ad4f-a3923e760a28
2016,Summer,CJE,0,AFs,51,a40b15b1-3ded-4623-a9e0-a3dd349829af
2015,Spring,GET,1,NJE,26,8bb5241f-ba14-427c-bad0-4fc8518433f5
2016,Summer,AE,1,HLN,29,bc430563-76af-465b-872b-0e9c0cbe4181
2015,Spring,WE,0,TSM,36,77daa07b-362f-46c6-93c1-4ee92b56506c
2016,Summer,SSG,1,LZ,35,2aa3cb28-88a6-40b5-97cc-c0bc52ae866b
2016,Summer,MSE,0,ahq,40,f0e42e5e-9a9e-40bb-aae0-36ae626e089e
2016,Summer,TSM,1,UOL,38,d670e4b4-1817-40a4-9d81-5a4c85121838
2016,Summer,MVP,1,LZ,59,fe8df099-b247-48e4-a4bb-58a093f24547
2016,Spring,SSG,0,ROX,37,437a55f4-b9b2-4ba4-9fdc-66179889b452
2015,Summer,SSB,0,SKT,46,a8de3915-67a3-46cb-9075-0720a3c34aa7
2015,Spring,NR1,1,BPI,37,5f7a0de2-c954-411d-b5f0-e16250d6ea9d
2016,Spring,BJK,1,DP,41,fcc5610d-79c9-45a6-99e7-90310ab5fa17
2016,Spring,CLG,1,SKT,44,b0f0bf92-b3c0-4c88-8813-a7eb4aa54834
2016,Spring,CJ,1,LZ,52,a886066d-d396-4c97-8105-14b9382d2db2
2016,Summer,BGG,1,RED,57,5f24681a-1b70-4998-a286-0b0a5dce62b8
2016,Summer,CJE,0,ROX,43,ff68703b-b6a4-4216-b0c8-79f627a97e29
2016,Spring,LGC,0,CHF,43,d0639cb4-f549-4044-ae02-19476d93aa00
2016,Summer,MSE,0,HKE,29,375bdb58-aef4-4056-9471-aac5753f0211
2015,Summer,H2K,1,OG,33,bc51a76f-99af-495c-ae37-9910d20b32bf
2015,Summer,LZ,1,SSB,44,262b0d87-80d8-44a9-92ce-3fb3e2d3331b
2016,Spring,XG,0,HKE,43,f7eab4c6-5307-4dbc-91f7-c291d553f941
2016,Summer,FW,1,XG,37,bf7ed69b-0f1e-4846-8c21-31e664ff7426
2015,Summer,NR1,0,HWA,33,955cb422-27bd-41c2-82ac-8d96bb7914e6
2016,Summer,MVP,1,JAG,39,9df286c3-0afb-44c8-92c3-5c8af598bb45
2015,Spring,UOL,0,MYM,49,02c45fc8-8040-4332-ae04-a6b1bafaf3d4
2016,Summer,FNC,1,ROC,37,1f978221-5c5c-4a78-8919-3b3ce0b4716d
2016,Spring,RPG,0,USG,33,5c093b11-af9f-4adb-9353-8468751bb973
2016,Summer,UOL,1,FW,35,b6ad552f-425f-462a-a8ce-8dffc0b56662
2016,Spring,GIA,0,G2,35,416ced1c-980f-456d-ad11-641053ce1f83
2015,Spring,BJK,0,TSM,27,271d1d6a-ffd8-4bfd-967e-88169261e602
2016,Summer,TL,1,CLG,28,f8476bc2-e617-4a97-b5f3-38f587986211
2015,Spring,COL,1,T8,38,cd96b027-8670-4e20-90e7-4bb62afb84b4
2015,Spring,kt,1,JAG,38,47e72fd2-b131-4cad-b791-3dc4ac4d8fe6
2016,Summer,SKT,1,kt,29,9d6b27e5-3e6a-4e52-b7af-582c5b149360
2016,Summer,ROX,1,AFs,41,8cb4616e-2341-4b64-b380-2753da939f30
2016,Summer,VEG,0,ANX,39,87165634-ba8d-441a-88de-d91d6e191551
2016,Summer,,1,,32,9199235b-80d7-4bde-aa9c-7fac5ed8d38a
2016,Spring,NV,0,VEG,42,9ba9ca11-de8a-43d4-8826-4c7ea9fc2217
2016,Summer,UOL,0,ROC,33,a3f52548-2e6a-49de-a7ef-79f90f36ada7
2016,Spring,CGE,0,TPA,32,04992c7d-a817-4f67-bc9b-c49b9b4dcdb9
2015,Summer,EDG,0,FNC,30,9faadb76-1b11-41b6-b6d2-17bf5c8e1b28
2016,Spring,KDM,0,LZ,35,3ea699e5-d2c7-4997-9150-32c1da43731a
2015,Summer,GIA,0,EL,44,68e2c263-49d1-4687-89b2-d628e5125d10
2016,Summer,LZ,1,AFs,33,e59604d8-e47c-4506-9862-358da229f43f
2015,Spring,SSG,1,IM,50,fec1a782-04fe-408c-83d8-ca3b419ced43
2015,Spring,IM,1,kt,30,2b140ad4-f80f-451a-827e-82dcc3cd3d02
2016,Summer,NV,0,CLG,42,7af1eff4-0065-47c6-b573-e1c3c440fbc6
2016,Summer,ANX,0,VEG,31,2a256b76-d27c-4ef4-a907-7aa64af07a59
2016,Spring,TIP,1,C9,36,519c8b10-ede2-4ce4-beaa-7bf1e88fa7b1
2016,Spring,SSB,1,EVR,41,40a165d0-a6bf-46bc-9803-a83ce3e3b2d5
2015,Summer,SSG,1,JAG,45,007e4e7b-4115-4e9e-9d20-aee0f62918c5
2015,Spring,IM,0,CJE,37,05558fa7-56d3-4a08-8999-4e0d4b9d6d49
2015,Summer,OHM,0,TT,32,a85debd0-1929-4226-a4f3-4fccc1185553
2016,Summer,GIA,1,OG,54,32cc9d75-c41f-43b3-a01f-39bc82eb73b8
2016,Spring,SSB,0,kt,36,e937a335-4fb5-4c3a-b3bd-7f65847482f6
2015,Spring,GV,1,TIP,43,af996f7f-0339-4c3f-bfd0-98d8626adc04
2015,Summer,CLG,1,PNG,31,dbc5c2f8-e7fd-4e2b-b3c6-f1777f42c2f2
2016,Summer,CRW,1,TT,44,70aca1c4-b986-4083-9766-17e6b38e789c
2016,Summer,LZ,1,CHF,28,820627aa-6af4-461a-827e-e81d4e079f85
2016,Summer,LGC,0,CHF,32,ca96c2d1-8516-40d2-9e00-79e8258d6652
2016,Spring,MSE,0,M17,42,231545d6-fe53-4587-83a6-359a44f1b636
2016,Summer,MVP,0,ROX,32,ec031f49-16e0-46df-b32c-467953490bb2
2016,Summer,SKT,1,ROX,41,3016a0dc-7898-43ca-9410-3c81433d5e22
2015,Spring,EL,0,SK,36,6ccc3da1-c929-40c1-b267-8afbe7e0895d
2016,Summer,CLG,1,TL,41,928d5746-1620-4428-acf6-47d32de237c2
2015,Spring,MIL,0,UOL,32,c736ad54-8d52-42f1-a261-8104b1f8903b
2016,Summer,IMT,1,NV,43,1b62e28d-4f6d-4d74-ac6f-8acad860680a
2016,Summer,SSG,1,AFs,35,1ab5ea3a-c36e-4729-9406-bcada75af5df
2016,Spring,IMG,0,T8,26,5943710e-4fbc-4bf1-8c5c-c87c8a9896a3
2015,Spring,A,0,BJK,28,f242758a-b3db-499d-8aee-f07428f5b522
2015,Summer,LGS,0,FW,35,d98c18c3-225a-420e-a8db-62577edaddb9
2016,Spring,EL,1,UOL,44,c773a31f-c72b-47d5-a624-3244a83f53b5
2016,Spring,ROC,0,GIA,36,68fdb56c-e000-40ac-8e68-35b62ba3f976
2015,Summer,KOO,1,FNC,46,171707be-9074-42e7-9f21-3b65aa456648
2016,Summer,G2,0,ROC,49,945afaa4-33e0-4014-b1d9-2682cdc18ad5
2015,Summer,KOO,0,SKT,39,2541378f-4d70-4491-a83c-2233062cf96f
2015,Summer,ANC,1,NJE,36,3df03ba6-ffd1-44c5-b158-bdbb05529cbe
2016,Spring,M17,0,MSE,45,bcefe32e-85c0-44dc-85e1-9e0e48e181fa
2016,Summer,BJK,0,DP,33,5eade172-a1f9-48d1-94b6-737988c17a07
2015,Summer,TDK,1,DIG,36,96111538-2e7a-4135-9a84-fb9e5e547e26
2016,Spring,EL,0,SPY,48,e88b7b50-792c-45c6-ac7d-ab3f4074982c
2016,Spring,XG,1,MSE,51,83225646-44fc-4b24-b429-fc5f779bd968
2015,Summer,DP,1,OHM,35,f7ccc115-9cb4-4bee-b4b5-aafd1f1b2ee5
2015,Summer,M17,1,AS,28,eb3fc536-b66b-4a02-9d36-f0e4db84431d
2016,Summer,IMT,0,C9,48,b05cef9b-2b3b-41ea-9aef-6ae3da389761
2016,Summer,TSM,1,C9,30,76dc985f-f3ed-4c8b-9da4-85ef869e9313
2016,Summer,C9,0,TSM,31,c2ef8979-15bc-40a1-94d9-4a6ff26b092b
2016,Summer,TM,0,ahq,30,f86bb95c-85d2-43f0-9ca2-05a824cf43f3
2015,Summer,CREW,0,OHM,32,44fea6bc-ce89-459f-a822-5ba47b487c7e
2015,Summer,DP,1,BJK,48,a97cf3cd-6ca7-4e0a-8b11-933181caf3f8
2016,Spring,EMP,0,HR,34,6e1e448d-5cc3-44ea-bfd2-a63de3dcc3db
2015,Summer,MSE,0,ahq,49,1ac1b4d9-d678-4442-bff8-9a4668034f59
2016,Summer,G2,0,CLG,35,f202d2ff-81fb-4aa7-b7c2-38b13c145fc8
2016,Spring,CGE,0,M17,35,3fae769f-33fa-4668-801c-b1a366d2d4f8
2016,Summer,JAG,0,kt,39,d4a05013-1404-4f59-b124-6051939f8f48
2015,Spring,HKES,1,DoR,33,8d7fdaef-4cc3-4b6d-b2e9-1020b5174e8a
2016,Spring,TPA,1,XG,30,b18a613e-09fa-4579-9710-347cffedf837
2016,Summer,FNC,1,S04,40,b65ce3ba-42bd-4acf-a7ed-64f6ff02eac9
2016,Summer,FW,0,ahq,41,5ec3e5a9-489e-4e25-ac86-f9a5b45adf9b
2016,Summer,ahq,1,JT,36,54b0ee73-49be-4b23-8dd3-9255fdfd7beb
2016,Summer,KBM,0,VFK,45,806aead3-c696-4919-b2b5-59b701a3fc6c
2016,Summer,NRG,1,IMT,43,d4b93ba8-7701-44b9-ba3f-9f32cc2ea8eb
2015,Summer,CREW,0,HWA,33,d49f45a4-c7c8-47d5-acaf-f5a0d4558e49
2016,Spring,KDM,0,AFs,35,2f32a3ce-1769-45a3-83e9-f2acfec272d7
2016,Spring,RPG,1,CRJ,50,bd7a18ee-c01a-4386-aebb-0bf2c77ee3fb
2016,Summer,SSG,0,AFs,37,9be75786-755f-4ac6-8384-5ade92d5f4e2
2016,Summer,NV,1,VS,39,fb384e9c-cd8a-4e3d-8474-36455215dbe2
2016,Summer,SSG,1,AFs,28,23f45526-42de-4522-a4a8-cc7fbe7ecc4c
2016,Spring,ESC,0,RNG,32,5acb08b9-e3ee-4680-a93e-161bd062a3a2
2016,Spring,BE,0,7h,32,7366b57e-0345-46a4-a92d-180598d30104
2016,Spring,CJ,0,AFs,27,8bba88a1-88c1-413b-bab3-6937e9375215
2015,Summer,JAG,1,NJE,41,f6f3d176-e593-4e98-986b-15b53797c4c6
2015,Summer,H2K,0,CW,49,f03255e9-a411-4dc1-869a-b94de6d69960
2016,Spring,CLG,1,NRG,25,73b848b6-deb9-4561-b052-0e35e8b1399f
2016,Spring,CNB,0,KBM,42,8834e920-98a8-4ec3-b318-4efa1a00758f
2015,Summer,OG,1,GIA,29,7c5a337a-165b-4917-b5a1-7f49b7e2844c
2016,Spring,JAG,0,LZ,32,405098fc-2c27-4e84-90a0-960942ee5eda
2016,Spring,M17,1,TPA,37,e8b85a3c-b85b-4c7e-9c9b-5c9010c7c073
2016,Spring,AFs,0,SSB,38,f4ede4f6-ffb3-4692-8ed1-62fb1897c653
2016,Spring,BE,0,RPG,29,294b8a3b-ecf4-4e4a-a875-ab1d841e2db1
2016,Spring,JAG,1,LZ,41,2f456fab-10f7-4c47-a15f-edc3e1fb3ba9
2016,Spring,AFs,0,SKT,31,4b9d96c3-9f70-4d9c-9c54-16214be958d9
2016,Spring,HWA,1,DP,26,9304d97b-287f-40c9-b938-559e56ac09b9
2016,Summer,PNG,1,VFK,40,dc49e0f6-a2f4-4358-b929-551100ec78c3
2015,Summer,H2K,0,EDG,37,418eed96-d747-40bd-8bc2-79c85c453358
2015,Summer,UOL,0,OG,41,7a10fde4-4e08-4168-b49b-f03b0335e992
2015,Summer,FNC,0,KOO,31,6caf5194-d661-4e44-9b5e-09cacfb0d674
2016,Spring,TSM,1,CLG,29,433fe77f-ffe2-43db-b71c-d57f371a281f
2016,Spring,M17,1,CGE,38,2b346ed4-0ef4-4d68-8f54-0558e64c2cb3
2016,Summer,FW,0,HKE,46,5bd016fb-abbb-4d2e-a8e0-5c86ab9ee506
2016,Summer,,0,,28,6c8d63fb-d351-42d6-a9d8-62b71ff1dfdb
2016,Spring,LZ,0,SKT,39,77886094-e7ce-4553-a96c-a824f02ec405
2016,Summer,CJE,0,MVP,29,02852a1d-cc81-47db-8956-64b78ea83447
2014,Summer,SSW,1,DP,22,f67afd57-2969-451f-a424-cee086cb3d04
2015,Spring,NR1,0,TT,32,addf8bd8-54ae-40c8-bca3-05a8a4d2ff86
2016,Spring,USG,1,7h,28,aa469766-fe44-44ff-ad80-c0b558ffa0fb
2015,Spring,TIP,0,TSM,30,64c7dfd6-ce1f-48ba-b49d-04026f72eb5a
2016,Summer,RNG,0,SSG,33,385a7492-8ca7-4e5e-8014-7f12c45c8b54
2016,Summer,TT,0,AUR,31,2730aaf8-207e-4b7f-89c5-cac309b6176d
2016,Summer,ESC,1,kt,41,b673bd34-e39c-45c9-bb8c-c3c4e9248b6a
2016,Spring,TRI,0,CHF,38,c4d148cc-040f-468b-9b33-eebb91df21c4
2015,Spring,Crew,0,LOG,30,a9293a8a-873d-4a8a-b468-fde87c2af912
2016,Summer,SSG,1,RNG,24,c330df0f-a6f7-4a2e-b22d-0ad29fe585d6
2016,Summer,IMT,1,JTM,31,fd0b6f02-7e80-440e-8ae1-4a81bcb99212
2016,Spring,SIN,1,AV,36,324a314a-4f40-4e2b-b38b-8be69ddb2323
2015,Spring,TIP,0,TL,41,81ceb581-3511-4116-b5ee-00c9e7c4ce37
2015,Spring,ahq,1,LOG,30,51d5d0db-74ea-4b7a-83b1-f172739a4e96
2016,Spring,AV,0,CHF,33,f64919bb-59df-4fe3-8604-1ae0848fea25
2016,Summer,EMP,0,ANX,60,e604ce3f-69ea-43fa-8e9c-7067fe5d6ba0
2016,Spring,HR,1,NV,30,551de07c-0e11-4f64-925f-36a553fa555b
2014,Summer,TSM,1,SK,24,bc125ba8-bb6c-4be8-9913-da98cd4cc609
2015,Spring,kt,0,NJE,44,6d4400d9-d57a-4ec1-83a3-07a589d37e80
2016,Summer,H2K,1,VIT,34,f22e9c43-fe9a-4278-89fe-1a54edaf96d3
2016,Spring,CJ,1,KDM,41,05b84dc3-4313-4bf5-8db0-94676208ea77
2015,Summer,TSM,1,T8,41,2a45bd7c-f021-42b6-9342-449f3750f334
2016,Spring,7h,0,RPG,34,1317ce6a-248a-4b2f-906f-783ddb188d83
2016,Spring,CLG,1,FW,31,472a3c7b-2a05-4f42-9824-fe35369b9d34
2016,Summer,GIA,0,SPY,46,8f7725be-9ac5-4754-adcd-76a864138204
2016,Summer,ahq,1,XG,29,d06d030f-c477-4930-b019-7ef38833d5c8
2015,Spring,ASC,0,GIA,37,0d93ac2c-427a-4e44-8323-58c51ac01832
2014,Summer,KBM,0,NWS,36,f5eb2cd1-f3d4-422d-ba3c-88ce793116fb
2016,Summer,OG,0,GIA,47,fbc3bf78-f7b5-49c2-8609-9a8fe13f3710
2016,Spring,USG,1,RPG,35,a67e64bb-9ac8-4abc-b010-cc93801dad0c
2016,Spring,CLK,0,AUR,31,070bb0b4-b2e5-425a-ba72-669c6b1651ab
2016,Summer,UOL,1,H2K,32,77ba82c2-eb37-46df-8696-b8beaf888f37
2015,Summer,SKT,1,OG,44,13a5dac8-ded6-4d9a-b8f8-89704171f1d3
2016,Summer,SPY,0,G2,42,18420219-f02b-41a2-9ec4-b2ff062cb2ca
2016,Spring,HLN,0,AV,51,d3202545-28f3-40a0-b35f-7d97bd52a55c
2015,Spring,IM,0,SKT,40,b47fe091-2b02-418e-ab64-2e0eeff45aa5
2016,Spring,EMF,0,LZ,56,3f7c9982-e801-4e5a-9422-7180686cb759
2015,Summer,GV,1,C9,40,6e9d22f2-81c7-427b-b775-ce32be8ba0b4
2015,Spring,GET,1,SK,36,9082e37d-2cf4-4203-a299-8cd7b6c36dcd
2015,Summer,SSG,0,NJE,48,f0c163c9-bc47-4d59-aa96-d71f3bbf65af
2016,Spring,ROX,1,JAG,35,198b1a69-75c8-4e5c-b00f-c21513d2cce2
2016,Spring,HKE,0,XG,28,c6f74eec-6464-42dc-b533-3e56f7ce460b
2015,Spring,C9,1,TL,38,73d0f62c-8b08-4003-ac55-64eb25ad32c8
2016,Summer,CNB,0,ITZ,46,d8deb9ec-f6a4-47ce-b161-c90de9a05901
2016,Summer,SKT,1,C9,35,64f93fd7-b25d-4d1b-b347-465186861dce
2015,Spring,COL,0,T8,37,5943c1ba-82ba-4f9d-9a43-06e1301a7a44
2016,Spring,TPA,1,M17,45,dcbfc4e0-81f3-40d2-977d-f9865440faf6
2016,Summer,JAG,0,AFs,46,7166ebfa-571d-49a5-a240-e8d32d2c3c1e
2016,Summer,GIA,0,S04,26,fafb53b8-00f7-462c-b620-07355e8ba77c
2016,Summer,kt,1,SSG,43,ed098e11-7942-4145-8741-c627fe22b641
2015,Summer,NJF,1,SKT,41,9e7e8b0a-8aa8-4427-9a00-b8c34e1f07ff
2015,Summer,KOO,1,SSB,26,5a5d41e8-a16a-455e-90af-0f34fa7cec1b
2016,Spring,SSG,1,SSB,29,b676ef10-26e2-469a-a359-154430515baf
2016,Spring,HKE,1,TPA,41,9d99ca7c-e930-4d71-80f8-790d75ae5d92
2016,Spring,VIT,1,EL,41,60b577bc-8967-411d-9918-66bfa52ac71f
2016,Summer,SSG,1,C9,40,71dbdd28-9cf7-4315-999e-1b31d71ca6bf
2016,Summer,G2,1,SPY,27,1df411ff-4a07-4660-9c45-aca19f53965c
2016,Summer,SIN,1,LGC,28,18aa8d63-796b-4183-8d43-6035d011b5ba
2015,Spring,MYM,0,EL,36,602d0b96-657d-47e2-9cd3-c54dd087115d
2016,Summer,VFK,1,PNG,47,fff9bdae-70c7-459c-8e30-fcba4b5d0160
2015,Spring,SK,1,MYM,38,e2ece656-5d9d-4271-aec5-c47edcc36f18
2016,Spring,SSB,0,kt,36,70088715-231e-49b5-914c-30161434cfad
2015,Spring,GV,1,TL,48,9f3f5829-6841-458d-8b63-008f0c1dd00f
2015,Spring,COL,0,T8,41,e74b5b24-d1a8-4e07-b9d2-43b7db3e2485
2015,Spring,WFX,1,TIP,42,bf803250-b0ba-48f7-972e-da960ced243b
2015,Spring,UOL,1,GMB,40,f1bbec5d-9457-49e1-95e0-fa830a1b893b
2016,Spring,TL,1,DIG,31,8611b865-b8a1-4678-9241-34770aac371c
2015,Spring,WE,1,GET,32,d98bb1ce-819f-4027-8a09-d1c204e12fc6
2014,Summer,OMG,1,SHR,36,b0064989-01cd-42fc-a59d-b77b016e2db6
2016,Spring,ahq,0,FW,34,a4f50365-f156-4320-a7d4-ac24b49d10c8
2016,Summer,AUR,0,SUP,27,873e324e-79b4-44a8-8f07-3cfe72e5ca85
2016,Summer,CLG,1,TL,35,b7dbbe2e-c823-45dd-8051-0bcca2dc204d
2016,Spring,FW,0,CLG,38,78091557-f3f7-4191-92b9-49faf7a6f12d
2016,Summer,kt,1,JAG,53,ee31a5ff-84c2-4ae5-9462-dc736cbe95bc
2015,Spring,JAG,1,IM,37,6aba54e1-22de-44ab-a345-4d0406fb3fec
2015,Spring,MSE,1,NGU,29,4000e448-333f-40e3-bc21-197e71fe33d4
2016,Spring,SPY,0,VIT,42,5017b742-5d95-44ac-af63-770d332dd4d4
2015,Summer,TPA,0,MSE,45,03ed864c-2855-4fd6-b9b0-fd57dea2a614
2016,Summer,G2,1,UOL,38,643e9c1f-3e1f-4c2b-85eb-bafd4b3340af
2016,Summer,ahq,1,M17,42,ed6eab27-3504-427a-9c93-4ad1eec55bdf
2016,Summer,APX,0,NV,35,e7ea9676-52bd-4eea-9261-2c03bc861633
2015,Summer,SSB,0,LZ,42,5072124b-477e-4ac2-8df3-e9992fff7f40
2015,Spring,SKT,0,CJE,32,7748b049-fde9-4a54-81a4-003bcf9f5966
2016,Summer,SUP,0,CRW,45,c0c4e44e-f74d-4eac-89e5-fee2a83ce098
2015,Spring,SKP,0,GMB,37,ab338c2e-7161-4a8b-b048-0f0baf84ac67
2016,Spring,KBM,1,OPK,32,f3daf772-f7a2-4b1e-b8dc-852b5ccc3ce0
2015,Summer,EL,1,SK,56,265c75f9-5a4f-4be7-98f1-3d174707f15d
2016,Summer,SPY,1,FNC,31,762f3be0-c71b-467e-ba7e-1febcc264a9f
2015,Spring,JAG,0,SKT,41,a2099642-8576-4f6e-9e38-8c4caa1295fd
2015,Spring,LOG,0,HKES,29,0e8e6efc-9dfc-49a7-876d-7f34a4035c8f
2016,Spring,FNC,1,RNG,36,c1d9e0de-98d7-4d34-999e-6e3c8c6b1966
