adult,Viscera weight,Coarse-grained Hormones,Diameter,Length,Phosphorylation,Ectopic relationships,Height,Whole weight,Shell weight,Sex,Shucked weight
0.0,0.0835,0.714,0.345,0.44,0.736,0.094,0.13,0.4495,0.134,I,0.209
0.0,0.067,0.898,0.325,0.44,0.903,0.013,0.09,0.35,0.105,I,0.14800000000000002
0.0,0.1095,0.725,0.335,0.445,0.195,0.454,0.11,0.4355,0.1195,F,0.2025
0.0,0.0945,0.461,0.35,0.445,0.086,0.212,0.13,0.4195,0.1195,I,0.1695
0.0,0.127,0.839,0.36,0.45,0.609,0.344,0.13,0.478,0.13699999999999998,I,0.191
1.0,0.09300000000000001,0.157,0.355,0.45,0.918,0.171,0.105,0.4445,0.1335,I,0.19699999999999998
0.0,0.0855,0.703,0.345,0.45,0.744,0.709,0.11,0.47,0.1135,I,0.2355
0.0,0.153,0.05,0.335,0.45,0.062,0.378,0.105,0.447,0.11900000000000001,I,0.2335
0.0,0.126,0.065,0.355,0.455,0.858,0.704,0.125,0.5325,0.1465,I,0.225
0.0,0.1055,0.016,0.375,0.455,0.626,0.703,0.12,0.49700000000000005,0.1295,I,0.2355
0.0,0.09300000000000001,0.827,0.36,0.46,0.737,0.011,0.1,0.4635,0.115,I,0.2325
0.0,0.0945,0.123,0.345,0.46,0.068,0.972,0.105,0.449,0.1265,I,0.196
0.0,0.0925,0.347,0.365,0.465,0.894,0.377,0.115,0.467,0.113,I,0.2315
0.0,0.098,0.556,0.37,0.465,0.095,0.453,0.115,0.534,0.14300000000000002,I,0.261
0.0,0.0905,0.667,0.345,0.465,0.317,0.453,0.11,0.4415,0.12,I,0.1755
0.0,0.106,0.145,0.35,0.465,0.114,0.219,0.125,0.48200000000000004,0.1095,F,0.23
1.0,0.15,0.064,0.365,0.47,0.353,0.008,0.12,0.612,0.14,M,0.327
1.0,0.092,0.857,0.365,0.47,0.716,0.099,0.12,0.5820000000000001,0.146,F,0.29
1.0,0.1215,0.627,0.37,0.475,0.515,0.037,0.125,0.537,0.15,M,0.222
0.0,0.11,0.348,0.36,0.475,0.491,0.094,0.12,0.5915,0.127,F,0.3245
0.0,0.1065,0.14,0.375,0.48,0.569,0.59,0.115,0.6765,0.17,M,0.3205
0.0,0.1405,0.438,0.385,0.48,0.282,0.529,0.145,0.64,0.1575,M,0.2925
1.0,0.099,0.05,0.36,0.48,0.935,0.789,0.1,0.439,0.115,M,0.19399999999999998
0.0,0.11699999999999999,0.779,0.365,0.48,0.417,0.369,0.12,0.6015,0.14,M,0.312
0.0,0.0955,0.874,0.37,0.485,0.426,0.797,0.115,0.4785,0.129,F,0.1995
1.0,0.124,0.01,0.385,0.49,0.973,0.987,0.125,0.649,0.1695,M,0.32
1.0,0.1295,0.066,0.395,0.495,0.21,0.591,0.135,0.6335,0.1495,M,0.3035
0.0,0.1435,0.045,0.4,0.495,0.555,0.982,0.135,0.61,0.14400000000000002,M,0.272
0.0,0.1535,0.021,0.39,0.5,0.178,0.089,0.135,0.6595,0.1565,M,0.3145
1.0,0.10300000000000001,0.838,0.385,0.5,0.095,0.54,0.12,0.56,0.135,I,0.2835
0.0,0.129,0.62,0.385,0.5,0.321,0.597,0.135,0.6425,0.1535,M,0.3195
0.0,0.12,0.212,0.4,0.5,0.889,0.832,0.125,0.6725,0.1825,M,0.336
1.0,0.141,0.997,0.39,0.505,0.547,0.026,0.13,0.674,0.1785,F,0.3165
1.0,0.131,0.978,0.39,0.505,0.889,0.732,0.15,0.685,0.156,I,0.36200000000000004
1.0,0.133,0.529,0.41,0.505,0.088,0.149,0.125,0.642,0.155,M,0.289
1.0,0.1205,0.02,0.355,0.505,0.458,0.211,0.125,0.601,0.185,I,0.25
1.0,0.1455,0.954,0.39,0.51,0.708,0.596,0.135,0.769,0.19,M,0.3935
0.0,0.1225,0.983,0.375,0.51,0.57,0.915,0.1,0.5785,0.175,I,0.23800000000000002
0.0,0.1585,0.949,0.405,0.51,0.075,0.617,0.135,0.769,0.18,I,0.3655
1.0,0.134,0.409,0.405,0.51,0.541,0.746,0.15,0.7035,0.1885,M,0.34700000000000003
1.0,0.1815,0.022,0.41,0.51,0.614,0.596,0.145,0.7959999999999999,0.1955,M,0.3865
1.0,0.2,0.909,0.43,0.515,0.07,0.26,0.14,0.8340000000000001,0.23,F,0.36700000000000005
0.0,0.13699999999999998,0.516,0.39,0.515,0.861,0.98,0.155,0.7125,0.155,M,0.3695
1.0,0.17300000000000001,0.289,0.415,0.525,0.229,0.444,0.14,0.7240000000000001,0.175,F,0.3475
1.0,0.1575,0.213,0.4,0.525,0.536,0.044,0.14,0.7325,0.17,M,0.33399999999999996
1.0,0.19699999999999998,0.357,0.425,0.53,0.272,0.168,0.13,0.7585,0.205,F,0.325
1.0,0.23199999999999998,0.282,0.425,0.53,0.396,0.308,0.15,0.8495,0.20199999999999999,F,0.32799999999999996
0.0,0.1605,0.089,0.405,0.53,0.77,0.582,0.125,0.6515,0.18600000000000003,M,0.2715
1.0,0.196,0.667,0.4,0.535,0.155,0.553,0.135,0.8215,0.205,F,0.3935
1.0,0.1595,0.576,0.43,0.535,0.84,0.621,0.14,0.7165,0.2155,M,0.2855
1.0,0.22899999999999998,0.82,0.435,0.535,0.324,0.962,0.14,0.8740000000000001,0.2195,M,0.3735
1.0,0.17800000000000002,0.157,0.445,0.55,0.753,0.532,0.155,0.9905,0.218,F,0.544
1.0,0.161,0.431,0.43,0.55,0.628,0.787,0.14,0.8105,0.275,F,0.368
1.0,0.207,0.122,0.455,0.56,0.456,0.556,0.16,0.9670000000000001,0.27399999999999997,F,0.4525
1.0,0.1665,0.481,0.4,0.565,0.823,0.213,0.13,0.6975,0.18,F,0.3075
1.0,0.2565,0.339,0.45,0.57,0.663,0.955,0.155,1.195,0.295,M,0.5625
1.0,0.21,0.856,0.45,0.57,0.785,0.752,0.155,1.1935,0.34299999999999997,M,0.513
1.0,0.255,0.095,0.455,0.57,0.82,0.222,0.15,1.107,0.27,F,0.54
1.0,0.2195,0.482,0.445,0.57,0.501,0.607,0.14,1.0635,0.24,M,0.5265
0.0,0.1935,0.739,0.46,0.57,0.094,0.537,0.17,0.9035,0.214,M,0.4075
1.0,0.2745,0.792,0.475,0.575,0.469,0.957,0.16,1.114,0.29,M,0.4955
1.0,0.221,0.687,0.46,0.575,0.478,0.218,0.16,1.103,0.249,F,0.5379999999999999
0.0,0.2255,0.399,0.46,0.58,0.521,0.519,0.15,1.1155,0.29,F,0.5575
1.0,0.2595,0.201,0.46,0.58,0.524,0.016,0.18,1.0515,0.276,F,0.4095
1.0,0.2115,0.974,0.455,0.58,0.645,0.838,0.15,1.012,0.2835,M,0.4985
1.0,0.22,0.593,0.45,0.58,0.355,0.054,0.145,1.137,0.29,F,0.5585
1.0,0.2565,0.814,0.49,0.58,0.666,0.567,0.13,1.1335,0.237,M,0.586
1.0,0.2615,0.427,0.465,0.59,0.414,0.925,0.155,1.136,0.275,M,0.5245
1.0,0.2425,0.014,0.47,0.59,0.31,0.651,0.16,1.206,0.309,M,0.479
1.0,0.2445,0.041,0.455,0.59,0.139,0.812,0.145,1.063,0.25,F,0.5155
1.0,0.17800000000000002,0.01,0.47,0.595,0.085,0.6,0.155,1.121,0.155,F,0.4515
1.0,0.2205,0.271,0.45,0.595,0.713,0.001,0.15,1.114,0.25,F,0.5865
1.0,0.2435,0.32,0.475,0.595,0.256,0.48,0.165,1.213,0.27399999999999997,M,0.621
1.0,0.2095,0.03,0.46,0.595,0.952,0.521,0.14,1.0045,0.2515,F,0.4655
1.0,0.2205,0.257,0.455,0.595,0.681,0.061,0.15,1.044,0.27,M,0.518
1.0,0.2645,0.702,0.49,0.605,0.275,0.636,0.15,1.1345,0.295,F,0.5265
1.0,0.2455,0.246,0.475,0.605,0.018,0.208,0.155,1.161,0.275,M,0.5720000000000001
1.0,0.262,0.174,0.47,0.605,0.501,0.664,0.165,1.2315,0.2925,M,0.6025
1.0,0.258,0.285,0.47,0.61,0.808,0.441,0.15,1.1625,0.3085,M,0.565
1.0,0.239,0.398,0.475,0.61,0.142,0.921,0.155,1.168,0.3295,M,0.5539999999999999
1.0,0.2595,0.701,0.48,0.615,0.221,0.989,0.16,1.2525,0.33,F,0.585
1.0,0.276,0.952,0.51,0.62,0.412,0.028,0.18,1.3315,0.38799999999999996,F,0.594
1.0,0.278,0.592,0.48,0.625,0.894,0.573,0.17,1.3525,0.365,F,0.6235
1.0,0.271,0.85,0.49,0.625,0.423,0.951,0.175,1.3325,0.405,M,0.5705
1.0,0.2475,0.297,0.475,0.625,0.56,0.47,0.175,1.1435,0.349,F,0.4755
1.0,0.3035,0.346,0.5,0.625,0.157,0.71,0.165,1.288,0.315,F,0.573
1.0,0.302,0.288,0.485,0.625,0.907,0.104,0.2,1.38,0.401,F,0.5845
1.0,0.275,0.447,0.485,0.63,0.25,0.107,0.155,1.278,0.31,M,0.637
1.0,0.284,0.312,0.495,0.63,0.316,0.32,0.165,1.3075,0.315,F,0.599
1.0,0.248,0.487,0.48,0.63,0.056,0.488,0.15,1.1785,0.3235,M,0.5185
1.0,0.2705,0.784,0.49,0.635,0.346,0.642,0.175,1.375,0.395,M,0.623
1.0,0.3,0.761,0.525,0.635,0.068,0.264,0.185,1.4065,0.3745,M,0.684
1.0,0.2655,0.44,0.505,0.64,0.135,0.409,0.155,1.4025,0.335,M,0.705
1.0,0.326,0.522,0.5,0.64,0.854,0.33,0.17,1.5175,0.409,F,0.693
1.0,0.29100000000000004,0.194,0.5,0.64,0.164,0.445,0.175,1.3940000000000001,0.4,F,0.4935
1.0,0.23600000000000002,0.114,0.5,0.645,0.28,0.025,0.155,1.2205,0.3185,F,0.6145
1.0,0.342,0.912,0.52,0.645,0.336,0.043,0.175,1.636,0.43200000000000005,M,0.779
1.0,0.3555,0.239,0.52,0.645,0.798,0.559,0.175,1.561,0.4,M,0.7090000000000001
1.0,0.308,0.782,0.505,0.645,0.485,0.605,0.165,1.4325,0.336,F,0.684
1.0,0.299,0.997,0.5,0.645,0.681,0.499,0.175,1.3385,0.349,M,0.633
1.0,0.327,0.126,0.5,0.645,0.745,0.27,0.16,1.2465,0.3,F,0.5475
1.0,0.2055,0.523,0.515,0.645,0.241,0.551,0.15,1.212,0.385,F,0.515
1.0,0.312,0.143,0.495,0.65,0.856,0.12,0.16,1.304,0.3725,M,0.57
1.0,0.308,0.685,0.52,0.65,0.845,0.733,0.21,1.6785,0.46,M,0.6665
1.0,0.3225,0.319,0.525,0.65,0.728,0.443,0.185,1.6219999999999999,0.47700000000000004,M,0.6645
1.0,0.331,0.992,0.46,0.655,0.217,0.467,0.16,1.494,0.1825,F,0.6895
1.0,0.3365,0.651,0.51,0.655,0.077,0.35,0.175,1.6525,0.40299999999999997,F,0.8515
1.0,0.3025,0.592,0.505,0.66,0.921,0.037,0.185,1.528,0.441,F,0.69
1.0,0.297,0.439,0.535,0.66,0.564,0.171,0.19,1.5905,0.5175,M,0.6425
1.0,0.3595,0.473,0.495,0.66,0.825,0.991,0.195,1.6275,0.485,M,0.594
0.0,0.294,0.958,0.475,0.66,0.919,0.94,0.18,1.3695,0.335,F,0.6409999999999999
1.0,0.3145,0.545,0.525,0.67,0.184,0.274,0.165,1.6085,0.4005,M,0.682
1.0,0.2995,0.249,0.57,0.675,0.027,0.66,0.225,1.587,0.435,F,0.7390000000000001
1.0,0.3615,0.63,0.565,0.675,0.963,0.913,0.195,1.8375,0.5529999999999999,F,0.7645
1.0,0.3215,0.104,0.535,0.68,0.39,0.973,0.185,1.607,0.498,M,0.7245
1.0,0.36200000000000004,0.922,0.525,0.69,0.209,0.728,0.175,1.7005,0.405,M,0.8255
1.0,0.4015,0.908,0.505,0.69,0.59,0.157,0.2,1.8719999999999999,0.48,M,0.893
1.0,0.396,0.854,0.535,0.695,0.47,0.304,0.175,1.8385,0.503,F,0.8035
1.0,0.42,0.727,0.535,0.705,0.118,0.902,0.18,1.685,0.4045,F,0.693
1.0,0.5225,0.98,0.565,0.71,0.104,0.984,0.205,2.198,0.5475,M,1.012
1.0,0.4185,0.477,0.565,0.715,0.016,0.963,0.175,1.9525,0.4135,M,0.7645
1.0,0.38299999999999995,0.029,0.525,0.715,0.728,0.17,0.185,1.56,0.405,F,0.6655
1.0,0.44,0.602,0.6,0.735,0.761,0.925,0.22,2.555,0.6,F,1.1335
1.0,0.509,0.765,0.6,0.765,0.899,0.302,0.22,2.302,0.6205,M,1.0070000000000001
0.0,0.0075,0.412,0.13,0.185,0.483,0.358,0.045,0.028999999999999998,0.0095,I,0.012
0.0,0.006,0.383,0.15,0.195,0.463,0.388,0.045,0.0375,0.011000000000000001,I,0.018000000000000002
0.0,0.005,0.344,0.135,0.195,0.696,0.315,0.04,0.0325,0.0095,I,0.0135
0.0,0.009000000000000001,0.805,0.155,0.2,0.203,0.349,0.04,0.0435,0.006999999999999999,I,0.0155
0.0,0.0125,0.112,0.165,0.225,0.961,0.072,0.055,0.059000000000000004,0.015,I,0.027000000000000003
0.0,0.013000000000000001,0.252,0.18,0.245,0.18,0.257,0.065,0.071,0.0215,I,0.03
0.0,0.0155,0.913,0.18,0.25,0.701,0.722,0.065,0.0685,0.0225,I,0.0245
0.0,0.0175,0.901,0.195,0.265,0.86,0.08,0.055,0.084,0.025,I,0.0365
0.0,0.02,0.921,0.195,0.275,0.791,0.946,0.065,0.106,0.027999999999999997,I,0.054000000000000006
0.0,0.024,0.432,0.21,0.28,0.557,0.794,0.085,0.1075,0.034,I,0.0415
0.0,0.0205,0.921,0.22,0.285,0.748,0.535,0.065,0.096,0.03,I,0.0405
0.0,0.0265,0.123,0.22,0.3,0.967,0.265,0.08,0.1255,0.039,I,0.055
0.0,0.027000000000000003,0.894,0.235,0.315,0.346,0.019,0.055,0.151,0.039,I,0.065
0.0,0.0295,0.827,0.225,0.32,0.957,0.518,0.085,0.1415,0.0405,I,0.0675
0.0,0.0475,0.53,0.265,0.34,0.295,0.32,0.08,0.2015,0.055,I,0.09
0.0,0.0265,0.862,0.28,0.37,0.795,0.208,0.1,0.221,0.0635,I,0.1165
0.0,0.0455,0.026,0.28,0.375,0.972,0.129,0.08,0.2345,0.067,I,0.1125
0.0,0.042,0.047,0.275,0.375,0.735,0.583,0.1,0.2325,0.065,I,0.1165
0.0,0.0495,0.911,0.29,0.385,0.252,0.512,0.08,0.2485,0.065,I,0.122
0.0,0.053,0.339,0.32,0.4,0.594,0.471,0.095,0.348,0.087,I,0.19399999999999998
0.0,0.044000000000000004,0.874,0.3,0.405,0.246,0.14,0.11,0.32,0.09300000000000001,I,0.172
0.0,0.057,0.817,0.3,0.41,0.137,0.035,0.1,0.282,0.0875,I,0.1255
0.0,0.07200000000000001,0.344,0.325,0.41,0.485,0.687,0.1,0.3245,0.106,I,0.132
0.0,0.07,0.268,0.3,0.42,0.956,0.791,0.105,0.316,0.1035,I,0.1255
0.0,0.0635,0.68,0.32,0.42,0.339,0.828,0.11,0.3625,0.105,I,0.174
0.0,0.051,0.907,0.31,0.42,0.373,0.513,0.095,0.27899999999999997,0.08800000000000001,I,0.1255
0.0,0.0865,0.408,0.325,0.425,0.703,0.857,0.115,0.3685,0.1045,I,0.162
0.0,0.0865,0.001,0.335,0.43,0.653,0.003,0.12,0.397,0.1035,M,0.1985
0.0,0.096,0.551,0.33,0.435,0.452,0.924,0.11,0.413,0.096,I,0.2055
0.0,0.0735,0.029,0.345,0.435,0.417,0.308,0.115,0.418,0.106,I,0.222
0.0,0.084,0.818,0.33,0.44,0.41,0.164,0.11,0.3705,0.12,I,0.1545
0.0,0.1015,0.158,0.345,0.445,0.153,0.54,0.105,0.409,0.11699999999999999,I,0.1675
0.0,0.0905,0.767,0.34,0.445,0.512,0.521,0.145,0.434,0.13,I,0.1945
1.0,0.0935,0.137,0.335,0.445,0.228,0.551,0.11,0.41100000000000003,0.109,I,0.1985
1.0,0.0985,0.522,0.365,0.45,0.406,0.517,0.125,0.462,0.1315,I,0.2135
0.0,0.1075,0.236,0.34,0.45,0.356,0.078,0.12,0.4925,0.12,I,0.24100000000000002
0.0,0.0785,0.307,0.33,0.45,0.244,0.017,0.105,0.3715,0.0975,I,0.1865
0.0,0.1,0.018,0.33,0.45,0.589,0.177,0.1,0.41100000000000003,0.098,I,0.1945
0.0,0.0885,0.976,0.33,0.45,0.54,0.572,0.11,0.3685,0.102,I,0.16
0.0,0.098,0.67,0.35,0.46,0.386,0.187,0.115,0.4155,0.1175,I,0.18
0.0,0.1395,0.098,0.36,0.47,0.457,0.789,0.105,0.544,0.129,M,0.27
0.0,0.1075,0.755,0.38,0.47,0.331,0.805,0.125,0.4845,0.142,I,0.21100000000000002
0.0,0.099,0.255,0.35,0.475,0.117,0.261,0.11,0.4565,0.13,I,0.20600000000000002
0.0,0.111,0.903,0.35,0.475,0.94,0.436,0.1,0.4545,0.115,I,0.2165
1.0,0.1085,0.431,0.38,0.48,0.102,0.602,0.125,0.6245,0.1665,I,0.3395
0.0,0.13,0.397,0.465,0.49,0.05,0.699,0.125,0.5225,0.141,M,0.235
0.0,0.11199999999999999,0.524,0.375,0.5,0.411,0.608,0.14,0.5495,0.1585,I,0.248
1.0,0.11599999999999999,0.515,0.375,0.5,0.226,0.016,0.12,0.542,0.17,I,0.215
1.0,0.1135,0.439,0.38,0.5,0.036,0.55,0.125,0.519,0.134,I,0.2485
0.0,0.11699999999999999,0.097,0.39,0.5,0.409,0.22,0.125,0.5215,0.131,M,0.2485
0.0,0.15,0.675,0.39,0.505,0.247,0.709,0.125,0.5445,0.1405,F,0.24600000000000002
1.0,0.1395,0.319,0.405,0.51,0.639,0.751,0.125,0.6795,0.182,I,0.3465
0.0,0.115,0.725,0.4,0.51,0.939,0.837,0.125,0.545,0.1385,F,0.261
1.0,0.1195,0.806,0.4,0.51,0.929,0.291,0.125,0.5575,0.1525,I,0.2615
1.0,0.1135,0.974,0.38,0.51,0.652,0.671,0.115,0.5155,0.166,I,0.215
1.0,0.1265,0.473,0.385,0.515,0.593,0.189,0.125,0.6115,0.15,I,0.3175
1.0,0.1845,0.31,0.4,0.52,0.813,0.158,0.145,0.7765,0.185,M,0.3525
1.0,0.133,0.492,0.38,0.52,0.159,0.384,0.135,0.5395,0.157,I,0.2295
1.0,0.1295,0.985,0.38,0.52,0.284,0.848,0.125,0.5545,0.16699999999999998,I,0.28800000000000003
0.0,0.1985,0.909,0.46,0.52,0.865,0.322,0.15,1.0190000000000001,0.254,F,0.523
1.0,0.1245,0.119,0.4,0.525,0.665,0.378,0.13,0.6455,0.17,I,0.325
1.0,0.1285,0.283,0.4,0.525,0.529,0.251,0.14,0.601,0.1835,I,0.2625
1.0,0.1555,0.039,0.405,0.525,0.649,0.096,0.12,0.7555,0.201,M,0.3755
1.0,0.1395,0.091,0.395,0.525,0.031,0.583,0.12,0.608,0.1405,I,0.297
1.0,0.127,0.891,0.4,0.53,0.681,0.628,0.125,0.617,0.19,I,0.27899999999999997
1.0,0.149,0.033,0.39,0.535,0.498,0.639,0.125,0.599,0.16899999999999998,I,0.2595
1.0,0.138,0.554,0.42,0.54,0.994,0.798,0.14,0.6665,0.1895,I,0.3125
0.0,0.1815,0.314,0.39,0.545,0.18,0.658,0.135,0.7835,0.156,M,0.4225
1.0,0.1405,0.368,0.41,0.545,0.767,0.975,0.12,0.7929999999999999,0.19,M,0.434
1.0,0.127,0.205,0.415,0.545,0.288,0.679,0.14,0.82,0.218,M,0.4615
1.0,0.1855,0.66,0.415,0.55,0.419,0.626,0.135,0.8145,0.175,F,0.42700000000000005
1.0,0.195,0.391,0.43,0.55,0.62,0.235,0.15,0.84,0.223,F,0.395
1.0,0.1765,0.261,0.425,0.55,0.219,0.883,0.15,0.8315,0.2165,M,0.41100000000000003
1.0,0.1775,0.923,0.43,0.56,0.671,0.565,0.145,0.8995,0.23399999999999999,M,0.46399999999999997
1.0,0.2175,0.37,0.445,0.56,0.235,0.904,0.16,0.8965,0.2215,M,0.42
1.0,0.1765,0.074,0.44,0.56,0.202,0.591,0.155,0.6405,0.245,F,0.336
1.0,0.1885,0.989,0.415,0.56,0.126,0.088,0.145,0.852,0.205,M,0.43
1.0,0.2395,0.356,0.455,0.565,0.075,0.915,0.15,0.9595,0.23,M,0.4565
1.0,0.1825,0.934,0.435,0.565,0.436,0.545,0.15,0.99,0.20600000000000002,M,0.5795
1.0,0.2375,0.079,0.45,0.565,0.726,0.308,0.175,1.0095,0.2645,F,0.447
1.0,0.2035,0.194,0.46,0.57,0.595,0.772,0.15,1.0375,0.25,M,0.5415
1.0,0.217,0.246,0.445,0.57,0.322,0.496,0.145,0.8775,0.22,F,0.41200000000000003
1.0,0.16,0.15,0.44,0.57,0.687,0.367,0.15,0.755,0.22399999999999998,I,0.3425
0.0,0.22899999999999998,0.422,0.46,0.575,0.016,0.915,0.145,0.9945,0.265,F,0.466
1.0,0.214,0.644,0.45,0.575,0.762,0.791,0.16,1.068,0.2575,F,0.556
1.0,0.191,0.397,0.435,0.575,0.006,0.957,0.14,0.8455,0.222,M,0.401
1.0,0.19699999999999998,0.496,0.47,0.575,0.803,0.358,0.165,0.8690000000000001,0.23800000000000002,F,0.435
1.0,0.19699999999999998,0.642,0.455,0.575,0.097,0.074,0.135,0.907,0.26,M,0.4245
1.0,0.2155,0.205,0.435,0.575,0.258,0.329,0.13,0.805,0.245,I,0.3155
1.0,0.2175,0.711,0.445,0.575,0.542,0.688,0.17,1.0225,0.228,M,0.5489999999999999
1.0,0.1945,0.087,0.445,0.575,0.679,0.446,0.145,0.847,0.22,M,0.415
1.0,0.2155,0.198,0.455,0.58,0.811,0.67,0.15,1.114,0.265,M,0.4765
1.0,0.426,0.081,0.455,0.58,0.392,0.779,0.195,1.859,0.441,M,0.945
1.0,0.1915,0.543,0.445,0.58,0.915,0.872,0.135,0.8140000000000001,0.22,M,0.3775
1.0,0.1815,0.09,0.45,0.58,0.468,0.129,0.14,0.9615,0.253,M,0.486
1.0,0.1975,0.665,0.45,0.58,0.589,0.475,0.145,1.0025,0.2295,M,0.547
1.0,0.24600000000000002,0.004,0.45,0.58,0.679,0.766,0.155,0.93,0.265,F,0.385
1.0,0.1825,0.744,0.46,0.585,0.441,0.283,0.145,0.9335,0.235,M,0.478
0.0,0.23600000000000002,0.355,0.465,0.585,0.171,0.915,0.16,0.9555,0.265,M,0.4595
1.0,0.23199999999999998,0.213,0.47,0.59,0.901,0.934,0.15,0.9955,0.24,M,0.48100000000000004
1.0,0.2495,0.85,0.475,0.6,0.29,0.257,0.16,1.0265,0.2565,F,0.485
1.0,0.2395,0.605,0.455,0.6,0.714,0.671,0.17,1.1915,0.24,M,0.696
1.0,0.262,0.476,0.465,0.6,0.412,0.463,0.15,1.1025,0.25,F,0.5455
1.0,0.2465,0.579,0.465,0.6,0.929,0.487,0.155,1.0165,0.225,M,0.512
1.0,0.2275,0.899,0.47,0.605,0.226,0.828,0.165,1.1775,0.292,F,0.611
1.0,0.257,0.671,0.475,0.605,0.047,0.672,0.14,1.1175,0.27399999999999997,M,0.555
1.0,0.2365,0.861,0.48,0.605,0.207,0.775,0.17,1.1835,0.317,M,0.5820000000000001
1.0,0.2195,0.523,0.475,0.605,0.477,0.63,0.165,1.056,0.35700000000000004,F,0.433
1.0,0.212,0.896,0.485,0.61,0.189,0.097,0.16,1.0145,0.2415,M,0.5315
1.0,0.2255,0.368,0.485,0.61,0.369,0.497,0.145,1.3305,0.2865,M,0.7829999999999999
1.0,0.242,0.83,0.47,0.61,0.781,0.202,0.165,1.052,0.267,M,0.498
1.0,0.272,0.264,0.46,0.615,0.001,0.282,0.17,1.0565,0.27,M,0.4815
1.0,0.1825,0.737,0.465,0.615,0.65,0.121,0.15,0.9229999999999999,0.2415,F,0.4615
1.0,0.25,0.406,0.475,0.615,0.106,0.178,0.155,1.0270000000000001,0.285,F,0.447
1.0,0.2005,0.995,0.47,0.62,0.657,0.99,0.135,1.0195,0.2475,M,0.5315
1.0,0.1525,0.642,0.45,0.62,0.071,0.896,0.2,0.858,0.2405,M,0.4285
1.0,0.2445,0.135,0.48,0.62,0.484,0.687,0.16,1.1125,0.281,F,0.5635
1.0,0.2715,0.403,0.485,0.625,0.892,0.952,0.175,1.3745,0.332,F,0.7335
1.0,0.29,0.766,0.48,0.625,0.03,0.605,0.185,1.2065,0.28600000000000003,M,0.5870000000000001
1.0,0.21100000000000002,0.521,0.47,0.63,0.084,0.135,0.155,1.1325,0.287,M,0.589
1.0,0.3065,0.545,0.5,0.63,0.599,0.376,0.175,1.2645,0.3425,M,0.5635
1.0,0.308,0.572,0.495,0.635,0.383,0.286,0.015,1.1565,0.2885,F,0.5115
1.0,0.3415,0.899,0.515,0.64,0.971,0.934,0.165,1.369,0.358,M,0.632
1.0,0.2945,0.248,0.53,0.645,0.547,0.183,0.195,1.39,0.3735,M,0.6465
1.0,0.254,0.016,0.48,0.645,0.208,0.535,0.17,1.1345,0.305,F,0.528
1.0,0.33899999999999997,0.848,0.5,0.65,0.015,0.466,0.19,1.464,0.4245,F,0.6415
1.0,0.3135,0.157,0.5,0.65,0.147,0.156,0.155,1.202,0.294,M,0.565
1.0,0.369,0.972,0.515,0.655,0.863,0.99,0.16,1.31,0.345,M,0.5529999999999999
1.0,0.3725,0.048,0.51,0.655,0.16,0.354,0.175,1.415,0.364,F,0.5885
1.0,0.2705,0.283,0.53,0.66,0.578,0.075,0.185,1.3459999999999999,0.47600000000000003,F,0.546
1.0,0.27899999999999997,0.2,0.525,0.665,0.8,0.845,0.16,1.3630000000000002,0.34,M,0.629
1.0,0.29100000000000004,0.171,0.5,0.665,0.251,0.35,0.17,1.2975,0.3595,I,0.6035
1.0,0.3025,0.045,0.505,0.67,0.697,0.786,0.205,1.3645,0.353,F,0.6075
1.0,0.3655,0.708,0.54,0.685,0.166,0.988,0.215,1.7025,0.4735,F,0.664
1.0,0.3685,0.791,0.52,0.685,0.218,0.322,0.165,1.5190000000000001,0.4,M,0.6990000000000001
1.0,0.3105,0.864,0.54,0.69,0.479,0.022,0.155,1.454,0.39,F,0.624
1.0,0.405,0.744,0.53,0.69,0.116,0.401,0.21,1.5830000000000002,0.3865,M,0.7355
1.0,0.3485,0.661,0.53,0.69,0.255,0.586,0.17,1.5535,0.3695,F,0.7945
1.0,0.3715,0.923,0.56,0.695,0.393,0.687,0.185,1.74,0.4375,M,0.885
1.0,0.3355,0.499,0.565,0.7,0.999,0.067,0.18,1.751,0.446,M,0.895
1.0,0.418,0.589,0.575,0.7,0.031,0.324,0.19,2.273,0.638,M,1.095
1.0,0.307,0.02,0.525,0.7,0.141,0.879,0.19,1.6465,0.3995,F,0.8545
1.0,0.23600000000000002,0.13,0.55,0.705,0.136,0.374,0.17,1.219,0.301,F,0.6395
1.0,0.381,0.345,0.56,0.71,0.326,0.874,0.18,1.652,0.4525,F,0.735
1.0,0.40700000000000003,0.339,0.55,0.715,0.464,0.385,0.19,2.0045,0.5075,M,1.0465
1.0,0.313,0.656,0.535,0.715,0.615,0.674,0.19,1.6755,0.42,M,0.889
1.0,0.48,0.852,0.58,0.72,0.684,0.673,0.195,2.103,0.5375,F,1.0265
1.0,0.469,0.739,0.55,0.72,0.211,0.202,0.2,1.9965,0.5215,F,0.9035
1.0,0.1945,0.347,0.565,0.72,0.615,0.554,0.145,1.187,0.2685,M,0.691
1.0,0.4255,0.265,0.505,0.725,0.817,0.645,0.185,1.9780000000000002,0.4505,M,1.026
1.0,0.38,0.78,0.575,0.73,0.932,0.379,0.185,1.8795,0.4825,F,0.9309999999999999
1.0,0.55,0.99,0.585,0.735,0.81,0.046,0.185,2.124,0.5,M,0.9520000000000001
1.0,0.4585,0.0,0.565,0.745,0.904,0.382,0.215,1.931,0.5,M,0.8959999999999999
