,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Lebanon,0.00017,0.00017,0.00008,0,0,0,0,0,0,0,0,0,0,0.00316,0.00319,0.00513,0.00552,0.00523,0.00509,0.00551,0.00551,0.00551,0.00551,0.00551,0.00551,0.00551,0.00551,0.00551,0.00551,0.00551
Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestine,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00023,-0.00005,0.00003,0.00008,0.00005,0.0001,0,-0.00003,0,0,0,0,0
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syria,0.00011,0.00024,0.00027,0.00022,0.00014,0.00005,0.00003,0.00003,0.00003,0,0,0.00005,0.00005,0.00006,0.00006,0.00005,0.00014,0.00011,0.00014,0.00011,0.00011,0.00011,0.00008,0.00011,0.00011,0.00011,0.00011,0.00011,0.00011,0.00011
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,2.2521,2.46169,2.62282,2.69944,2.88086,2.95005,3.05374,3.1728,3.23019,2.9795,2.9604,3.05864,3.12366,3.10383,3.38609,3.37356,3.42576,3.7566,3.54551,3.64008,3.771,3.85711,3.69667,4.00022,4.30539,4.16851,4.23424,4.37972,4.65519,4.37638
Algeria,0.01703,0.02021,0.02085,0.03306,0.04223,0.03216,0.02854,0.03107,0.03112,0.03125,0.03071,0.0301,0.02686,0.02803,0.02457,0.0261,0.01603,0.01392,0.02124,0.02219,0.02004,0.02129,0.02634,0.02837,0.02992,0.02632,0.02511,0.02914,0.02911,0.01639
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,0.009,0.00922,0.01004,0.00941,0.00953,0.0106,0.01211,0.01405,0.01486,0.01647,0.01984,0.01945,0.02208,0.02183,0.0221,0.02534,0.02093,0.02042,0.02616,0.0266,0.02665,0.02444,0.02506,0.02175,0.02388,0.02567,0.02509,0.0216,0.02342,0.01901
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,0,0.00003,0.00003,0.00003,0.00003,0.00005,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00003,0.00003,0.00003,0.00003,0,0,0,0,0,0,0,0,0
Cape Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Brazzaville),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Kinshasa),0.00688,0.0071,0.0067,0.00644,0.00653,0.0066,0.00683,0.00694,0.00773,0.00679,0.00597,0.00622,0.00632,0.00668,0.00679,0.00766,0.00684,0.00644,0.00652,0.00652,0.00605,0.00592,0.0061,0.00646,0.00688,0.00732,0.00768,0.00815,0.00864,0.00888
Cote dIvoire (IvoryCoast),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,0.02266,0.03587,0.04024,0.02818,0.02823,0.02874,0.03179,0.03659,0.03226,0.03602,0.04215,0.03378,0.02975,0.03559,0.03635,0.02566,0.0394,0.03137,0.03077,0.02765,0.03458,0.02962,0.03247,0.03365,0.03511,0.03373,0.03252,0.03242,0.03171,0.03108
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gambia, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00007,0.00007,0.00007,0.00007,0.00007,0.00007,0.0001,0.0001,0.00008,0.00008,0.00008,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,0.00051,0.00256,0.00094,0.00262,0.00338,0.00247,0.00244,0.00262,0.00324,0.00375,0.00432,0.00378,0.00452,0.00426,0.004,0.00269,0.0024,0.00236,0.0019,0.00184,0.00169,0.00169,0.00254,0.00236,0.00277,0.00228,0.00307,0.00282,0.00279,0.00243
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00005,0.00005,0.00005,0.00011,0.00013,0.00013,0.00013,0.00013,0.00016,0.00014,0.00013,0.00013,0,0,0,0,0,0,0,0,0,0,0,0.00008
Madagascar,0.00026,0.00032,0.00032,0.00029,0.00019,0.00011,0.00029,0.00032,0.00032,0.00034,0.00034,0.00034,0.00034,0.00045,0.00045,0.00038,0.00027,0.00031,0.00031,0.0002,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026
Malawi,0.00172,0.00127,0.00161,0.00116,0.00108,0.00087,0.00074,0.00074,0.00042,0.00029,0.00048,0.00029,0.00032,0.00048,0.00055,0.00047,0.00046,0.00046,0.00046,0.00202,0.00218,0.00215,0.00228,0.00172,0.00184,0.00192,0.00154,0.00167,0.00167,0.00167
Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,0.00016,0.00016,0.00019,0.00019,0.00019,0.00019,0.00013,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00019,0.00019,0.00011,0.00008,0.00005,0.00003,0,0,0,0,0,0,0,0,0,0,0
Mauritius,0.00003,0.00005,0.00003,0.00037,0.00063,0.00095,0.00122,0.00101,0.00108,0.00198,0.00198,0.00175,0.00151,0.00204,0.00113,0.00154,0.0011,0.00115,0.00182,0.00348,0.00652,0.0089,0.00799,0.00742,0.0085,0.00971,0.01256,0.01256,0.01256,0.01256
Morocco,0.02115,0.0223,0.02486,0.02986,0.02578,0.02854,0.04638,0.05175,0.05034,0.05361,0.05275,0.06113,0.04326,0.06529,0.07223,0.07657,0.09696,0.08738,0.10314,0.09981,0.11131,0.14043,0.14336,0.13447,0.128,0.13574,0.13538,0.13801,0.1227,0.11272
Mozambique,0.00795,0.00813,0.0067,0.00503,0.00347,0.00294,0.00281,0.00172,0.00177,0.00175,0.00158,0.00169,0.00164,0.00164,0.00164,0.00156,0,0,0,0,0.00012,-0.00025,0,0,0,0,0,0.00022,0.00025,0.00082
Namibia,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0.00045,0.00014,0.00007,0.00009,0,0.00018,0.00002,0.00045,0.00145,0.00174,0.00933,0.00436
Niger,0.00056,0.00083,0.00125,0.00361,0.00417,0.00419,0.00344,0.00456,0.00431,0.00475,0.00478,0.00478,0.00472,0.00478,0.00478,0.00481,0.00465,0.00446,0.00446,0.00448,0.00405,0.00418,0.00466,0.00482,0.00512,0.00466,0.00469,0.00461,0.00461,0.00461
Nigeria,0.00484,0.00323,0.00164,0.00156,0.00204,0.00377,0.00301,0.00291,0.00164,0.00148,0.0017,0.00185,0.00256,0.00099,0.00088,0.00073,0.00041,0.00045,0.0005,0.00055,0.00021,0.00008,0.0011,0.00059,0.00008,0.0002,0.0002,0.0002,0.00023,0.0002
Reunion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00325,0.00389,0.00428,0.00551,0.00551,0.00651
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,2.05903,2.25738,2.41421,2.47624,2.65552,2.72633,2.78271,2.86721,2.92394,2.67836,2.64528,2.73671,2.81394,2.77878,3.06829,3.06518,3.10497,3.46764,3.23009,3.30967,3.43191,3.49636,3.32317,3.65231,3.95802,3.81253,3.88247,4.02896,4.31572,4.06907
Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland,0.00454,0.00423,0.00423,0.00263,0.00322,0.00428,0.00444,0.00426,0.00426,0.00426,0.00412,0.00317,0.00259,0.00128,0.00353,0.00441,0.00348,0.00384,0.00512,0.00692,0.0072,0.00707,0.01169,0.00948,0.01032,0.00492,0.00564,0.00571,0.00584,0.00584
Tanzania,0.00005,0.00005,0.00005,0.00011,0.00008,0.00011,0.00011,0.00008,0.00008,0.00008,0.00011,0.00011,0.00011,0.00118,0.00124,0.00122,0.00146,0.00072,0.00115,0.00192,0.00202,0.002,0.00202,0.00141,0.00167,0.00192,0.00205,0.00218,0.00231,0.00243
Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,0.0024,0.00276,0.00193,0.00281,0.00288,0.00275,0.00251,0.00281,0.00335,0.00333,0.00298,0.00308,0.00314,0.00351,0.00323,0.00248,0.00307,0.00292,0.00236,0.00336,0.00317,0.0029,0.00246,0.0007,0,0,0,0,0,0
Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,0.01539,0.01312,0.01563,0.01171,0.01312,0.01279,0.01399,0.01182,0.01326,0.01047,0.00806,0.00832,0.01095,0.00895,0.00392,0.00334,0.0059,0.00782,0.00506,0.00307,0.00315,0.00327,0.00337,0.00356,0.00266,0.00344,0.00143,0.00034,0.00002,0.00002
Zimbabwe,0.07787,0.07279,0.07129,0.08407,0.07849,0.08154,0.11012,0.13206,0.1359,0.12417,0.13287,0.1417,0.14867,0.13763,0.12993,0.12307,0.11711,0.10466,0.10396,0.11962,0.10979,0.1067,0.10179,0.09072,0.08709,0.09352,0.08883,0.08362,0.07851,0.07743
Asia & Oceania,19.67405,20.40012,21.41424,22.55493,25.13115,26.86533,27.92595,29.38463,31.52199,31.81802,32.18325,33.40881,34.22779,36.21799,38.63588,40.04987,40.13616,42.6006,41.65263,41.5744,41.72726,43.91439,48.83013,55.72739,66.71234,71.3342,75.27058,80.26008,86.89602,91.25236
Afghanistan,0.00289,0.00303,0.00352,0.00352,0.00359,0.00366,0.00388,0.00405,0.00335,0.00308,0.00255,0.00228,0.00106,0.00115,0.00126,0.00138,0.0015,0.00163,0.00172,0.00194,0.00207,0.00067,0.00054,0.0009,0.00087,0.00085,0.00085,0.0009,0.0009,0.0009
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1.05036,1.12029,1.06722,1.18805,1.35013,1.33665,1.25793,1.40854,1.2987,1.41536,1.43484,1.48925,1.5609,1.56946,1.49433,1.519,1.64679,1.94104,1.9414,2.0763,2.0692,2.19257,2.19573,2.19019,2.25071,2.31137,2.32053,2.35432,2.34926,2.35181
Bangladesh,0.00658,0.00689,0.00837,0.00448,0.00174,0.00274,0.00414,0.00652,0.00566,0.007,0.01577,0.00504,0.00455,0.00125,0.00117,0.01274,0.00733,0.01345,0.00387,0.00192,0.01374,0.01458,0.01458,0.01458,0.01458,0.01545,0.0197,0.01868,0.02618,0.02618
Bhutan,0.00003,0.00003,0.00003,0.00003,0.00002,0.00002,0.00003,0.00052,0.00055,0.00052,0.00052,0.00052,0.00054,0.00052,0.00121,0.00144,0.00159,0.00159,0.0015,0.00169,0.00169,0.00167,0.00192,0.00143,0.00128,0.00146,0.00133,0.0021,0.0021,0.0021
Brunei,0.00005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burma (Myanmar),0.00156,0.00204,0.00274,0.00241,0.00264,0.00289,0.00222,0.00144,0.0012,0.00158,0.00155,0.00166,0.00164,0.00147,0.00137,0.00156,0.00121,0.00114,0.00117,0.00162,0.00147,0.00175,0.00195,0.00345,0.0039,0.00084,0.004,0.00417,0.00406,0.00551
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,12.29851,12.3322,13.16531,13.91815,15.29868,16.47602,17.44179,18.64066,19.92516,20.10823,20.25781,20.97967,21.7129,23.04616,25.02784,25.0297,25.29833,26.7311,25.53042,24.29666,23.14718,24.26006,29.03288,35.19808,44.34143,48.34956,51.07841,54.4636,59.65134,63.27869
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,0.00048,0.00041,0.00052,0.00041,0.0005,0.00036,0.00034,0.00011,0.00018,0.00036,0.00054,0.00041,0.00045,0.00065,0.00065,0.00056,0.00059,0.00056,0.00051,0.00046,0.00046,0.00038,0.00038,0.00036,0.00033,0.00031,0.00031,0.00031,0.00031,0.00031
French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaiian Trade Zone,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Hong Kong,0.0007,0.00302,0.04025,0.08716,0.10859,0.1391,0.15335,0.19675,0.23825,0.25651,0.22938,0.20857,0.2349,0.25679,0.18502,0.19898,0.20103,0.16431,0.19995,0.1638,0.15524,0.20583,0.22331,0.27324,0.27395,0.27737,0.29202,0.31418,0.2907,0.31597
India,2.09389,2.44828,2.55168,2.68204,3.18575,3.31271,3.54507,3.56615,3.74626,4.0018,4.17086,4.55233,4.84659,5.14808,5.41989,6.61293,6.0304,6.3332,6.52705,7.02247,7.28862,7.5409,7.17856,7.3617,8.18279,8.60886,9.23446,10.0616,10.99492,12.18099
Indonesia,0.0156,0.01916,0.01552,0.01711,0.02986,0.03974,0.08986,0.09818,0.11339,0.15426,0.17054,0.1534,0.17824,0.28089,0.33778,0.28944,0.39248,0.34333,0.41019,0.4996,0.52259,0.69385,0.74695,0.78566,0.92723,1.0542,1.31988,1.53597,1.66187,1.65109
Japan,2.0996,2.27637,2.22885,2.12964,2.39634,2.52728,2.30749,2.36572,2.64099,2.64703,2.73905,2.78234,2.6788,2.67702,2.86921,2.96243,2.99891,3.29326,3.11481,3.40025,3.93928,4.03727,4.1949,4.33714,4.76506,4.59643,4.63967,4.86293,4.76861,4.24605
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, North",1.11857,1.15677,1.21841,1.26965,1.30577,1.36271,1.34311,1.27932,1.63251,1.28589,1.2184,1.18028,1.01702,0.93363,0.86,0.79017,0.6906,0.6457,0.58253,0.6553,0.70175,0.72457,0.69038,0.70666,0.72278,0.76273,0.78241,0.63833,0.71243,0.68532
"Korea, South",0.53252,0.60294,0.62231,0.68458,0.80309,0.93058,1.0067,0.98479,1.02412,0.98242,0.96439,0.97414,0.86376,1.03872,1.09802,1.12686,1.13641,1.27161,1.47662,1.45542,1.57206,1.76313,1.86714,1.90631,2.02058,2.06794,2.10896,2.31278,2.6059,2.69359
Laos,0,0,0,0.00001,0.00001,0.00002,0.00005,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00003,0.00214,0.0044,0.00549,0.00562,0.00617,0.00724,0.00764,0.00796,0.00822,0.00848,0.00862,0.00862,0.00862,0.00862
Macau,0.00011,0.00003,0.00003,0.00003,0.00003,0,0,0,0,0,0.00006,0.00006,0.00006,0.00006,0.00006,0.00005,0.00006,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00004,0.00004,0.00003,0.00003,0.00004,0,0
Malaysia,0.00205,0.00458,0.00344,0.00911,0.01003,0.01308,0.01051,0.01444,0.01474,0.04581,0.05542,0.05704,0.06426,0.04919,0.06548,0.06629,0.08989,0.06806,0.06915,0.05725,0.09616,0.1213,0.15317,0.22247,0.25566,0.23547,0.25005,0.26935,0.28155,0.41496
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,0.05696,0.04903,0.05832,0.06132,0.06119,0.06873,0.07571,0.08104,0.08434,0.08095,0.07615,0.09886,0.08414,0.07467,0.06765,0.075,0.04984,0.04473,0.04406,0.04355,0.04538,0.04466,0.04746,0.04183,0.03267,0.04561,0.05326,0.05319,0.05269,0.05754
Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,0.00214,0.00111,0.00116,0.00119,0.00275,0.00218,0.00145,0.0023,0.00235,0.00214,0.00034,0.00182,0.0027,0.00158,0.00319,0.00343,0.00332,0.00337,0.00835,0.01047,0.01075,0.0123,0.0057,0.00727,0.00642,0.01032,0.00647,0.0082,0.00772,0.0081
New Caledonia,0.00272,0.00186,0.00147,0.0022,0.00233,0.00401,0.00396,0.00351,0.00385,0.00469,0.00372,0.00399,0.00388,0.00388,0.00376,0.00376,0.00452,0.0029,0.00307,0.00284,0.00651,0.00664,0.00707,0.00802,0.0072,0.00666,0.00725,0.00769,0.00769,0.00769
New Zealand,0.05685,0.05726,0.05565,0.0609,0.05966,0.05573,0.05343,0.04832,0.06054,0.05101,0.05415,0.05253,0.04563,0.05942,0.05745,0.04971,0.0321,0.0545,0.05389,0.06476,0.0602,0.06843,0.06337,0.10248,0.09742,0.12124,0.10477,0.08582,0.10419,0.08164
Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,0.04407,0.0442,0.05539,0.04912,0.05487,0.06216,0.06637,0.06751,0.07779,0.07713,0.08005,0.08464,0.08808,0.09602,0.09907,0.09214,0.09198,0.09149,0.08946,0.08529,0.08373,0.09167,0.10499,0.1375,0.17615,0.16873,0.18443,0.24098,0.1972,0.19257
Papua New Guinea,0,0,0,0,0,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0,0,0,0,0,0,0,0,0,0,0
Philippines,0.01598,0.01789,0.02068,0.02928,0.04812,0.05753,0.04574,0.04831,0.06174,0.05049,0.05801,0.06409,0.06284,0.0785,0.07961,0.08275,0.10035,0.11022,0.09822,0.15218,0.20996,0.21898,0.20522,0.20866,0.22557,0.23517,0.24224,0.24475,0.28053,0.23269
Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,0.00012,0.00022,0.00007,0.00013,0.00024,0.0005,0.00029,0.00049,0.00058,0.00053,0.00093,-0.00001,0.00089,0.00033,0.00028,0.00002,0.00002,0.00002,0.00003,0,0,0.00001,0.00028,0.00036,0.00028,0.00008,0.00019,0.00032,0.00016,0.00016
Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,0.00005,0.00005,0.00083,0.00106,0.00143,0.00088,0.00372,0.0033,0.00013,0.0002,0.00006,0.00009,0.00007,0.00009,0.00011,0.00016,0.00008,0.00008,0.00008,0.00006,0.00006,0.00003,0.00079,0.0028,0.00076,0.00274,0.00207,0.00201,0.00213,0.00221
Taiwan,0.14675,0.13323,0.15324,0.21511,0.25542,0.26443,0.33058,0.35231,0.39923,0.42846,0.40462,0.44735,0.51472,0.62644,0.6598,0.73186,0.8038,0.92635,1.00423,1.0827,1.2853,1.32605,1.47231,1.56201,1.60239,1.6346,1.71029,1.78912,1.71873,1.6355
Thailand,0.01682,0.01909,0.02718,0.02541,0.03081,0.06348,0.06555,0.08279,0.09022,0.10863,0.14707,0.17279,0.17728,0.18857,0.21659,0.25294,0.38029,0.36261,0.29411,0.31608,0.32548,0.3705,0.38304,0.40365,0.44639,0.47917,0.52152,0.58953,0.64537,0.6418
Timor-Leste (East Timor),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0
Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Pacific Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,0.10809,0.10016,0.11204,0.11283,0.11758,0.13808,0.11263,0.12749,0.09613,0.10389,0.09643,0.09562,0.08185,0.08338,0.08499,0.14451,0.17056,0.18991,0.19069,0.17613,0.18217,0.20933,0.22984,0.24265,0.34764,0.33854,0.37685,0.3906,0.52088,0.53039
Wake Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,69.8986,71.37043,72.47173,74.54526,79.00603,82.36034,83.66871,86.36875,89.08833,88.92088,89.09659,86.00001,85.0096,86.21871,86.95818,87.87165,89.28951,91.69516,90.1217,90.41995,92.28221,93.03532,98.05234,106.54211,118.00493,122.54963,127.04573,132.78206,138.82977,137.33852
