Year,State,Producer Type,Energy Source,"CO2
(Metric Tons)","SO2
(Metric Tons)","NOx
(Metric Tons)"
1994,UT,Electric Utility,Petroleum,22 871,8,16
1994,UT,Industrial Cogen,All Sources,58 916,219,189
1994,UT,Industrial Cogen,Coal,30 233,219,126
1994,UT,Industrial Cogen,Natural Gas,28 683,0,62
1994,UT,IPP NAICS-22 Non-Cogen,All Sources,461 472,530,1 710
1994,UT,IPP NAICS-22 Non-Cogen,Coal,459 815,529,1 709
1994,UT,IPP NAICS-22 Non-Cogen,Petroleum,1 657,1,1
1994,UT,Total Electric Power Industry,All Sources,31 604 659,27 208,107 382
1994,UT,Total Electric Power Industry,Coal,31 036 202,27 196,106 135
1994,UT,Total Electric Power Industry,Geothermal,5 005,0,0
1994,UT,Total Electric Power Industry,Natural Gas,537 920,2,1 228
1994,UT,Total Electric Power Industry,Petroleum,25 532,10,18
1994,VA,Commercial Cogen,All Sources,93 473,122,16
1994,VA,Commercial Cogen,Natural Gas,54 974,0,13
1994,VA,Commercial Cogen,Petroleum,38 499,122,4
1994,VA,Commercial Non-Cogen,All Sources,127 933,26,416
1994,VA,Commercial Non-Cogen,Other,127 933,26,416
1994,VA,Electric Utility,All Sources,23 615 907,157 274,88 516
1994,VA,Electric Utility,Coal,20 666 703,145 617,83 255
1994,VA,Electric Utility,Natural Gas,1 058 975,5,2 442
1994,VA,Electric Utility,Petroleum,1 890 229,11 653,2 819
1994,VA,Industrial Cogen,All Sources,5 475 904,50 167,19 502
1994,VA,Industrial Cogen,Coal,4 520 969,37 964,15 073
1994,VA,Industrial Cogen,Natural Gas,173 875,1,270
1994,VA,Industrial Cogen,Other,18 020,11 916,2 979
1994,VA,Industrial Cogen,Petroleum,763 040,287,1 180
1994,VA,IPP NAICS-22 Cogen,All Sources,4 779 792,16 311,14 106
1994,VA,IPP NAICS-22 Cogen,Coal,4 211 130,16 080,13 611
1994,VA,IPP NAICS-22 Cogen,Natural Gas,427 056,3,420
1994,VA,IPP NAICS-22 Cogen,Other,0,2,19
1994,VA,IPP NAICS-22 Cogen,Petroleum,141 606,227,55
1994,VA,IPP NAICS-22 Non-Cogen,All Sources,1 174 998,279,1 158
1994,VA,IPP NAICS-22 Non-Cogen,Natural Gas,739 758,4,274
1994,VA,IPP NAICS-22 Non-Cogen,Other,374 420,82,878
1994,VA,IPP NAICS-22 Non-Cogen,Petroleum,60 820,194,6
1994,VA,Total Electric Power Industry,All Sources,35 268 007,224 180,123 715
1994,VA,Total Electric Power Industry,Coal,29 398 802,199 660,111 941
1994,VA,Total Electric Power Industry,Natural Gas,2 454 638,12,3 420
1994,VA,Total Electric Power Industry,Other,520 373,12 026,4 291
1994,VA,Total Electric Power Industry,Petroleum,2 894 194,12 482,4 063
1994,VT,Electric Utility,All Sources,18 402,9,111
1994,VT,Electric Utility,Natural Gas,8 809,0,20
1994,VT,Electric Utility,Other,0,5,88
1994,VT,Electric Utility,Petroleum,9 593,5,3
1994,VT,Industrial Cogen,All Sources,2 644,18,54
1994,VT,Industrial Cogen,Other,0,3,49
1994,VT,Industrial Cogen,Petroleum,2 644,16,5
1994,VT,IPP NAICS-22 Non-Cogen,Other,0,0,0
1994,VT,Total Electric Power Industry,All Sources,21 046,27,164
1994,VT,Total Electric Power Industry,Natural Gas,8 809,0,10
1994,VT,Total Electric Power Industry,Other,0,12,151
1994,VT,Total Electric Power Industry,Petroleum,12 237,15,3
1994,WA,Commercial Cogen,All Sources,137 302,457,370
1994,WA,Commercial Cogen,Coal,30 194,444,129
1994,WA,Commercial Cogen,Natural Gas,103 423,0,238
1994,WA,Commercial Cogen,Petroleum,3 685,13,4
1994,WA,Electric Utility,All Sources,9 858 423,61 123,61 148
1994,WA,Electric Utility,Coal,9 716 756,61 093,60 422
1994,WA,Electric Utility,Natural Gas,136 564,1,311
1994,WA,Electric Utility,Other,0,22,410
1994,WA,Electric Utility,Petroleum,5 103,8,5
1994,WA,Industrial Cogen,All Sources,1 035 444,12 781,3 711
1994,WA,Industrial Cogen,Coal,196 312,3 021,672
1994,WA,Industrial Cogen,Natural Gas,647 252,4,746
1994,WA,Industrial Cogen,Other,0,8 697,1 987
1994,WA,Industrial Cogen,Petroleum,191 880,1 060,307
1994,WA,Industrial Non-Cogen,All Sources,0,1,238
1994,WA,Industrial Non-Cogen,Natural Gas,0,1,238
1994,WA,IPP NAICS-22 Cogen,All Sources,1 563 689,21,1 010
1994,WA,IPP NAICS-22 Cogen,Natural Gas,1 561 337,10,967
1994,WA,IPP NAICS-22 Cogen,Other,0,0,43
1994,WA,IPP NAICS-22 Cogen,Petroleum,2 352,11,0
1994,WA,IPP NAICS-22 Non-Cogen,All Sources,120 855,27,287
1994,WA,IPP NAICS-22 Non-Cogen,Other,120 855,27,287
1994,WA,Total Electric Power Industry,All Sources,12 715 713,74 411,66 763
1994,WA,Total Electric Power Industry,Coal,9 943 262,64 552,61 066
1994,WA,Total Electric Power Industry,Natural Gas,2 448 576,15,2 567
1994,WA,Total Electric Power Industry,Other,120 855,8 751,2 804
1994,WA,Total Electric Power Industry,Petroleum,203 020,1 092,327
1994,WI,Commercial Cogen,All Sources,101 357,142,210
1994,WI,Commercial Cogen,Coal,8 527,124,36
1994,WI,Commercial Cogen,Natural Gas,87 516,0,166
1994,WI,Commercial Cogen,Other,0,0,4
1994,WI,Commercial Cogen,Petroleum,5 314,17,4
1994,WI,Commercial Non-Cogen,All Sources,0,0,50
1994,WI,Commercial Non-Cogen,Other,0,0,50
1994,WI,Electric Utility,All Sources,37 072 206,171 962,168 036
1994,WI,Electric Utility,Coal,36 678 104,168 235,166 982
1994,WI,Electric Utility,Natural Gas,205 061,0,454
1994,WI,Electric Utility,Other,0,98,258
1994,WI,Electric Utility,Petroleum,189 041,3 630,343
1994,WI,Industrial Cogen,All Sources,4 428 788,80 465,18 781
1994,WI,Industrial Cogen,Coal,3 290 964,45 575,12 342
1994,WI,Industrial Cogen,Natural Gas,367 102,2,1 032
1994,WI,Industrial Cogen,Other,90 332,20 830,4 198
1994,WI,Industrial Cogen,Petroleum,680 390,14 058,1 210
1994,WI,Industrial Non-Cogen,All Sources,43 046,2,103
1994,WI,Industrial Non-Cogen,Natural Gas,42 486,0,102
1994,WI,Industrial Non-Cogen,Petroleum,560,2,1
1994,WI,IPP NAICS-22 Cogen,All Sources,76 941,2 820,892
1994,WI,IPP NAICS-22 Cogen,Coal,50 344,2 820,816
1994,WI,IPP NAICS-22 Cogen,Natural Gas,26 511,0,73
1994,WI,IPP NAICS-22 Cogen,Other,0,0,3
1994,WI,IPP NAICS-22 Cogen,Petroleum,86,0,0
1994,WI,IPP NAICS-22 Non-Cogen,All Sources,0,0,697
1994,WI,IPP NAICS-22 Non-Cogen,Other,0,0,697
1994,WI,Total Electric Power Industry,All Sources,41 722 338,255 391,188 768
1994,WI,Total Electric Power Industry,Coal,40 027 939,216 754,180 176
1994,WI,Total Electric Power Industry,Natural Gas,728 676,2,1 826
1994,WI,Total Electric Power Industry,Other,90 332,20 928,5 208
1994,WI,Total Electric Power Industry,Petroleum,875 391,17 707,1 558
1994,WV,Electric Utility,All Sources,70 648 741,967 473,266 537
1994,WV,Electric Utility,Coal,70 454 568,967 102,266 348
1994,WV,Electric Utility,Natural Gas,12 886,0,34
1994,WV,Electric Utility,Petroleum,181 287,371,155
1994,WV,Industrial Cogen,All Sources,2 226 049,20 028,6 511
1994,WV,Industrial Cogen,Coal,1 801 121,20 019,5 571
1994,WV,Industrial Cogen,Natural Gas,345 639,1,816
1994,WV,Industrial Cogen,Other,0,0,2
1994,WV,Industrial Cogen,Petroleum,79 289,8,122
1994,WV,Industrial Non-Cogen,All Sources,153 428,1 184,688
1994,WV,Industrial Non-Cogen,Coal,152 657,1 184,686
1994,WV,Industrial Non-Cogen,Natural Gas,771,0,2
1994,WV,IPP NAICS-22 Cogen,All Sources,547 836,810,2 862
1994,WV,IPP NAICS-22 Cogen,Coal,534 769,810,2 839
1994,WV,IPP NAICS-22 Cogen,Natural Gas,13 067,0,23
1994,WV,IPP NAICS-22 Non-Cogen,All Sources,920 212,1 026,8 455
1994,WV,IPP NAICS-22 Non-Cogen,Coal,916 556,1 026,8 449
1994,WV,IPP NAICS-22 Non-Cogen,Natural Gas,3 656,0,6
1994,WV,Total Electric Power Industry,All Sources,74 496 266,990 521,285 053
1994,WV,Total Electric Power Industry,Coal,73 859 671,990 141,283 893
1994,WV,Total Electric Power Industry,Natural Gas,376 019,1,882
1994,WV,Total Electric Power Industry,Other,0,0,2
1994,WV,Total Electric Power Industry,Petroleum,260 576,379,277
1994,WY,Electric Utility,All Sources,43 078 791,77 273,193 415
1994,WY,Electric Utility,Coal,43 034 972,77 248,193 371
1994,WY,Electric Utility,Natural Gas,7 091,0,15
1994,WY,Electric Utility,Petroleum,36 728,25,29
1994,WY,Industrial Cogen,All Sources,1 150 448,8 685,4 535
1994,WY,Industrial Cogen,Coal,897 193,8 334,3 860
1994,WY,Industrial Cogen,Natural Gas,215 488,1,611
1994,WY,Industrial Cogen,Other,0,135,0
1994,WY,Industrial Cogen,Petroleum,37 767,215,64
1994,WY,Industrial Non-Cogen,All Sources,5 900,1,32
1994,WY,Industrial Non-Cogen,Natural Gas,5 900,0,15
1994,WY,Industrial Non-Cogen,Other,0,1,17
1994,WY,Total Electric Power Industry,All Sources,44 235 139,85 959,197 982
1994,WY,Total Electric Power Industry,Coal,43 932 165,85 582,197 231
1994,WY,Total Electric Power Industry,Natural Gas,228 479,1,641
1994,WY,Total Electric Power Industry,Other,0,136,17
1994,WY,Total Electric Power Industry,Petroleum,74 495,240,93
1995,AK,Commercial Cogen,All Sources,887 504,7 832,1 899
1995,AK,Commercial Cogen,Coal,883 639,7 824,1 893
1995,AK,Commercial Cogen,Petroleum,3 865,8,6
1995,AK,Commercial Non-Cogen,All Sources,4 330,10,87
1995,AK,Commercial Non-Cogen,Petroleum,4 330,10,87
1995,AK,Electric Utility,All Sources,2 619 815,6 687,11 175
1995,AK,Electric Utility,Coal,658 062,5 450,1 592
1995,AK,Electric Utility,Natural Gas,1 586 608,7,4 435
1995,AK,Electric Utility,Petroleum,375 145,1 230,5 148
1995,AK,Industrial Cogen,All Sources,185 639,2 162,4 351
1995,AK,Industrial Cogen,Natural Gas,125 378,1,2 732
1995,AK,Industrial Cogen,Other Biomass,0,41,73
1995,AK,Industrial Cogen,Wood and Wood Derived Fuels,0,830,119
1995,AK,Industrial Cogen,Petroleum,60 261,1 290,1 426
1995,AK,Industrial Non-Cogen,All Sources,399 030,13,1 416
1995,AK,Industrial Non-Cogen,Natural Gas,393 176,0,1 301
1995,AK,Industrial Non-Cogen,Petroleum,5 854,13,115
1995,AK,Total Electric Power Industry,All Sources,4 096 318,16 704,18 928
1995,AK,Total Electric Power Industry,Coal,1 541 701,13 274,3 485
1995,AK,Total Electric Power Industry,Natural Gas,2 105 162,8,8 468
1995,AK,Total Electric Power Industry,Other Biomass,0,41,73
1995,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,0,830,119
1995,AK,Total Electric Power Industry,Petroleum,449 455,2 551,6 782
1995,AL,Electric Utility,All Sources,64 143 230,483 075,184 379
1995,AL,Electric Utility,Coal,63 813 290,482 933,183 515
1995,AL,Electric Utility,Natural Gas,254 898,1,730
1995,AL,Electric Utility,Petroleum,75 042,143,138
1995,AL,Industrial Cogen,All Sources,4 222 649,49 671,23 587
1995,AL,Industrial Cogen,Coal,2 052 983,18 558,4 727
1995,AL,Industrial Cogen,Natural Gas,1 833 916,9,6 033
1995,AL,Industrial Cogen,Other Gases,0,29,727
1995,AL,Industrial Cogen,Other Biomass,0,16,29
1995,AL,Industrial Cogen,Wood and Wood Derived Fuels,0,29 662,11 598
1995,AL,Industrial Cogen,Other,9 891,105,21
1995,AL,Industrial Cogen,Petroleum,325 859,1 295,451
1995,AL,Industrial Non-Cogen,All Sources,12 560,1,33
1995,AL,Industrial Non-Cogen,Natural Gas,12 560,0,28
1995,AL,Industrial Non-Cogen,Wood and Wood Derived Fuels,0,1,5
1995,AL,IPP NAICS-22 Cogen,All Sources,259 918,5 116,2 205
1995,AL,IPP NAICS-22 Cogen,Coal,187 427,1 718,438
1995,AL,IPP NAICS-22 Cogen,Natural Gas,72 491,0,165
1995,AL,IPP NAICS-22 Cogen,Wood and Wood Derived Fuels,0,3 398,1 602
1995,AL,IPP NAICS-22 Non-Cogen,All Sources,7 302,0,21
1995,AL,IPP NAICS-22 Non-Cogen,Natural Gas,7 302,0,17
1995,AL,IPP NAICS-22 Non-Cogen,Other Biomass,0,0,1
1995,AL,IPP NAICS-22 Non-Cogen,Petroleum,0,0,2
1995,AL,Total Electric Power Industry,All Sources,68 645 659,537 863,210 225
1995,AL,Total Electric Power Industry,Coal,66 053 700,503 209,188 680
1995,AL,Total Electric Power Industry,Natural Gas,2 181 167,10,6 973
1995,AL,Total Electric Power Industry,Other Gases,0,29,727
1995,AL,Total Electric Power Industry,Other Biomass,0,16,30
1995,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,0,33 061,13 205
1995,AL,Total Electric Power Industry,Other,9 891,105,21
1995,AL,Total Electric Power Industry,Petroleum,400 901,1 438,591
1995,AR,Commercial Cogen,All Sources,27 993,7,1 031
1995,AR,Commercial Cogen,Natural Gas,24 941,0,796
1995,AR,Commercial Cogen,Other Biomass,0,0,231
1995,AR,Commercial Cogen,Petroleum,3 052,7,5
1995,AR,Electric Utility,All Sources,24 125 467,75 259,39 951
1995,AR,Electric Utility,Coal,22 304 482,74 586,35 670
1995,AR,Electric Utility,Natural Gas,1 773 446,52,3 963
1995,AR,Electric Utility,Petroleum,47 539,620,316
1995,AR,Industrial Cogen,All Sources,1 726 782,14 613,9 802
1995,AR,Industrial Cogen,Coal,188 360,1 882,550
1995,AR,Industrial Cogen,Natural Gas,1 427 700,8,4 259
1995,AR,Industrial Cogen,Wood and Wood Derived Fuels,0,11 799,4 822
1995,AR,Industrial Cogen,Other,64 618,672,138
1995,AR,Industrial Cogen,Petroleum,46 104,251,32
1995,AR,Industrial Non-Cogen,All Sources,0,1,375
1995,AR,Industrial Non-Cogen,Natural Gas,0,1,372
1995,AR,Industrial Non-Cogen,Petroleum,0,0,3
1995,AR,Total Electric Power Industry,All Sources,25 880 242,89 880,51 159
1995,AR,Total Electric Power Industry,Coal,22 492 842,76 468,36 220
1995,AR,Total Electric Power Industry,Natural Gas,3 226 087,61,9 390
1995,AR,Total Electric Power Industry,Other Biomass,0,0,231
1995,AR,Total Electric Power Industry,Wood and Wood Derived Fuels,0,11 799,4 822
1995,AR,Total Electric Power Industry,Other,64 618,672,138
1995,AR,Total Electric Power Industry,Petroleum,96 695,878,356
1995,AZ,Commercial Cogen,All Sources,24 741,3,599
1995,AZ,Commercial Cogen,Natural Gas,23 479,0,574
1995,AZ,Commercial Cogen,Petroleum,1 262,3,26
1995,AZ,Electric Utility,All Sources,32 360 561,110 432,67 107
1995,AZ,Electric Utility,Coal,31 350 741,109 939,64 738
1995,AZ,Electric Utility,Natural Gas,957 720,5,1 909
1995,AZ,Electric Utility,Petroleum,52 100,488,461
1995,AZ,Industrial Cogen,All Sources,763 626,4 228,2 335
1995,AZ,Industrial Cogen,Coal,720 049,3 368,2 028
1995,AZ,Industrial Cogen,Natural Gas,35 133,0,114
1995,AZ,Industrial Cogen,Wood and Wood Derived Fuels,0,745,160
1995,AZ,Industrial Cogen,Petroleum,8 444,115,34
1995,AZ,Industrial Non-Cogen,All Sources,9 141,2,40
1995,AZ,Industrial Non-Cogen,Natural Gas,8 096,0,19
1995,AZ,Industrial Non-Cogen,Petroleum,1 045,2,21
1995,AZ,IPP NAICS-22 Cogen,All Sources,180 763,1,496
1995,AZ,IPP NAICS-22 Cogen,Natural Gas,180 763,1,496
1995,AZ,Total Electric Power Industry,All Sources,33 338 832,114 666,70 577
1995,AZ,Total Electric Power Industry,Coal,32 070 790,113 307,66 766
1995,AZ,Total Electric Power Industry,Natural Gas,1 205 191,6,3 112
1995,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,0,745,160
1995,AZ,Total Electric Power Industry,Petroleum,62 851,608,542
1995,CA,Commercial Cogen,All Sources,1 134 796,122,8 445
1995,CA,Commercial Cogen,Natural Gas,1 108 046,5,7 490
1995,CA,Commercial Cogen,Other Biomass,0,1,337
1995,CA,Commercial Cogen,Petroleum,26 750,114,618
1995,CA,Commercial Non-Cogen,All Sources,1,0,228
1995,CA,Commercial Non-Cogen,Natural Gas,1,0,1
1995,CA,Commercial Non-Cogen,Other Biomass,0,0,227
1995,CA,Electric Utility,All Sources,22 045 021,1 286,33 101
1995,CA,Electric Utility,Geothermal,108 423,0,0
1995,CA,Electric Utility,Natural Gas,21 525 480,77,17 265
1995,CA,Electric Utility,Other Gases,0,0,1
1995,CA,Electric Utility,Petroleum,411 118,1 208,15 833
1995,CA,Industrial Cogen,All Sources,11 596 351,82 085,43 296
1995,CA,Industrial Cogen,Coal,2 204 411,15 140,5 486
1995,CA,Industrial Cogen,Natural Gas,8 383 900,43,26 368
1995,CA,Industrial Cogen,Other Gases,0,6,2 120
1995,CA,Industrial Cogen,Other Biomass,0,129,283
1995,CA,Industrial Cogen,Wood and Wood Derived Fuels,0,1 524,2 130
1995,CA,Industrial Cogen,Other,18 201,196,49
1995,CA,Industrial Cogen,Petroleum,989 839,65 044,6 863
1995,CA,Industrial Non-Cogen,All Sources,66 352,3,205
1995,CA,Industrial Non-Cogen,Natural Gas,65 109,0,199
1995,CA,Industrial Non-Cogen,Petroleum,1 243,2,6
1995,CA,IPP NAICS-22 Cogen,All Sources,13 620 716,31 852,39 620
1995,CA,IPP NAICS-22 Cogen,Coal,2 063 348,11 107,5 443
1995,CA,IPP NAICS-22 Cogen,Natural Gas,10 787 850,56,31 767
1995,CA,IPP NAICS-22 Cogen,Other Gases,465,0,14
1995,CA,IPP NAICS-22 Cogen,Other Biomass,0,0,1
1995,CA,IPP NAICS-22 Cogen,Wood and Wood Derived Fuels,0,10,86
1995,CA,IPP NAICS-22 Cogen,Other,119 129,1 380,279
1995,CA,IPP NAICS-22 Cogen,Petroleum,649 924,19 298,2 029
1995,CA,IPP NAICS-22 Non-Cogen,All Sources,1 809 518,3 867,16 560
1995,CA,IPP NAICS-22 Non-Cogen,Geothermal,175 860,0,0
1995,CA,IPP NAICS-22 Non-Cogen,Natural Gas,376 998,0,1 381
1995,CA,IPP NAICS-22 Non-Cogen,Other Gases,294,0,0
1995,CA,IPP NAICS-22 Non-Cogen,Other Biomass,0,37,7 871
1995,CA,IPP NAICS-22 Non-Cogen,Wood and Wood Derived Fuels,0,269,2 369
1995,CA,IPP NAICS-22 Non-Cogen,Other,336 465,674,1 983
1995,CA,IPP NAICS-22 Non-Cogen,Petroleum,919 901,2 885,2 951
1995,CA,Total Electric Power Industry,All Sources,50 272 755,119 215,141 455
1995,CA,Total Electric Power Industry,Coal,4 267 759,26 247,10 929
1995,CA,Total Electric Power Industry,Geothermal,284 283,0,0
1995,CA,Total Electric Power Industry,Natural Gas,42 247 384,181,84 471
1995,CA,Total Electric Power Industry,Other Gases,759,6,2 135
1995,CA,Total Electric Power Industry,Other Biomass,0,167,8 719
1995,CA,Total Electric Power Industry,Wood and Wood Derived Fuels,0,1 803,4 585
1995,CA,Total Electric Power Industry,Other,473 795,2 250,2 311
1995,CA,Total Electric Power Industry,Petroleum,2 998 775,88 551,28 300
1995,CO,Commercial Cogen,All Sources,119 740,1,342
1995,CO,Commercial Cogen,Natural Gas,119 740,1,342
1995,CO,Commercial Non-Cogen,All Sources,0,0,765
1995,CO,Commercial Non-Cogen,Other Biomass,0,0,765
1995,CO,Electric Utility,All Sources,30 742 371,84 875,78 594
1995,CO,Electric Utility,Coal,30 525 604,84 766,78 200
1995,CO,Electric Utility,Natural Gas,203 462,0,317
1995,CO,Electric Utility,Petroleum,13 305,108,73
1995,CO,Industrial Cogen,All Sources,190 916,1,499
1995,CO,Industrial Cogen,Natural Gas,190 838,1,498
1995,CO,Industrial Cogen,Petroleum,78,0,2
1995,CO,Industrial Non-Cogen,All Sources,6 479,0,153
1995,CO,Industrial Non-Cogen,Natural Gas,6 479,0,153
1995,CO,IPP NAICS-22 Cogen,All Sources,1 765 275,3 021,6 363
1995,CO,IPP NAICS-22 Cogen,Coal,756 553,2 882,1 954
1995,CO,IPP NAICS-22 Cogen,Natural Gas,1 004 116,8,4 207
1995,CO,IPP NAICS-22 Cogen,Other Biomass,0,115,198
1995,CO,IPP NAICS-22 Cogen,Petroleum,4 606,16,4
1995,CO,IPP NAICS-22 Non-Cogen,All Sources,70 283,0,182
1995,CO,IPP NAICS-22 Non-Cogen,Natural Gas,70 283,0,182
1995,CO,Total Electric Power Industry,All Sources,32 895 064,87 898,86 898
1995,CO,Total Electric Power Industry,Coal,31 282 157,87 648,80 154
1995,CO,Total Electric Power Industry,Natural Gas,1 594 918,10,5 699
1995,CO,Total Electric Power Industry,Other Biomass,0,115,963
1995,CO,Total Electric Power Industry,Petroleum,17 989,124,79
1995,CT,Commercial Cogen,All Sources,64 933,1,152
1995,CT,Commercial Cogen,Natural Gas,64 546,0,150
1995,CT,Commercial Cogen,Petroleum,387,1,2
1995,CT,Electric Utility,All Sources,6 091 080,18 817,6 221
1995,CT,Electric Utility,Coal,2 154 577,8 731,2 702
1995,CT,Electric Utility,Natural Gas,1 043 199,0,0
1995,CT,Electric Utility,Petroleum,2 893 304,10 088,3 518
1995,CT,Industrial Cogen,All Sources,503 214,1 949,1 037
1995,CT,Industrial Cogen,Natural Gas,172 722,1,401
1995,CT,Industrial Cogen,Petroleum,330 492,1 947,636
1995,CT,IPP NAICS-22 Cogen,All Sources,1 951 060,1 277,4 925
1995,CT,IPP NAICS-22 Cogen,Coal,1 546 622,1 246,3 640
1995,CT,IPP NAICS-22 Cogen,Natural Gas,392 535,3,1 219
1995,CT,IPP NAICS-22 Cogen,Petroleum,11 903,29,66
1995,CT,IPP NAICS-22 Non-Cogen,All Sources,1 124 707,4 567,5 156
1995,CT,IPP NAICS-22 Non-Cogen,Coal,46 622,358,105
1995,CT,IPP NAICS-22 Non-Cogen,Natural Gas,1 212,0,3
1995,CT,IPP NAICS-22 Non-Cogen,Other Gases,73,0,0
1995,CT,IPP NAICS-22 Non-Cogen,Other Biomass,0,0,47
1995,CT,IPP NAICS-22 Non-Cogen,Other,1 071 852,4 187,4 996
1995,CT,IPP NAICS-22 Non-Cogen,Petroleum,4 948,21,5
1995,CT,Total Electric Power Industry,All Sources,9 734 994,26 611,17 491
1995,CT,Total Electric Power Industry,Coal,3 747 821,10 335,6 447
1995,CT,Total Electric Power Industry,Natural Gas,1 674 214,4,1 773
1995,CT,Total Electric Power Industry,Other Gases,73,0,0
1995,CT,Total Electric Power Industry,Other Biomass,0,0,47
1995,CT,Total Electric Power Industry,Other,1 071 852,4 187,4 996
1995,CT,Total Electric Power Industry,Petroleum,3 241 034,12 086,4 227
1995,DC,Electric Utility,All Sources,222 718,1 063,445
1995,DC,Electric Utility,Other Biomass,0,154,14
1995,DC,Electric Utility,Petroleum,222 718,910,431
1995,DC,Total Electric Power Industry,All Sources,222 718,1 063,445
1995,DC,Total Electric Power Industry,Other Biomass,0,154,14
1995,DC,Total Electric Power Industry,Petroleum,222 718,910,431
1995,DE,Electric Utility,All Sources,6 658 395,37 797,15 797
1995,DE,Electric Utility,Coal,4 432 572,31 991,13 012
1995,DE,Electric Utility,Natural Gas,1 480 436,0,150
1995,DE,Electric Utility,Petroleum,745 387,5 803,2 633
1995,DE,Industrial Cogen,All Sources,1 435 111,30 590,4 342
1995,DE,Industrial Cogen,Coal,343 607,2 520,787
1995,DE,Industrial Cogen,Natural Gas,0,0,53
1995,DE,Industrial Cogen,Other Gases,0,1,232
1995,DE,Industrial Cogen,Other,0,0,11
1995,DE,Industrial Cogen,Petroleum,1 091 504,28 069,3 258
1995,DE,Total Electric Power Industry,All Sources,8 093 506,68 387,20 139
1995,DE,Total Electric Power Industry,Coal,4 776 179,34 511,13 799
1995,DE,Total Electric Power Industry,Natural Gas,1 480 436,0,203
1995,DE,Total Electric Power Industry,Other Gases,0,1,232
1995,DE,Total Electric Power Industry,Other,0,0,11
1995,DE,Total Electric Power Industry,Petroleum,1 836 891,33 872,5 891
1995,FL,Commercial Cogen,All Sources,64 074,199,1 679
1995,FL,Commercial Cogen,Natural Gas,63 911,0,1 314
1995,FL,Commercial Cogen,Other Biomass,0,0,301
1995,FL,Commercial Cogen,Petroleum,163,198,64
1995,FL,Commercial Non-Cogen,All Sources,0,0,591
1995,FL,Commercial Non-Cogen,Other Biomass,0,0,591
1995,FL,Electric Utility,All Sources,93 207 447,543 065,271 140
1995,FL,Electric Utility,Coal,58 582 509,357 818,199 312
1995,FL,Electric Utility,Natural Gas,17 094 129,47,8 204
1995,FL,Electric Utility,Other,0,12,134
1995,FL,Electric Utility,Petroleum,17 530 809,185 184,63 482
1995,FL,Industrial Cogen,All Sources,3 834 131,38 635,17 188
1995,FL,Industrial Cogen,Coal,980 649,11 087,2 259
1995,FL,Industrial Cogen,Natural Gas,1 586 191,7,4 082
1995,FL,Industrial Cogen,Other Gases,0,11,294
1995,FL,Industrial Cogen,Other Biomass,0,40,604
1995,FL,Industrial Cogen,Wood and Wood Derived Fuels,0,18 823,6 557
1995,FL,Industrial Cogen,Other,0,0,740
1995,FL,Industrial Cogen,Petroleum,1 267 291,8 666,2 651
1995,FL,Industrial Non-Cogen,All Sources,169 943,1,527
1995,FL,Industrial Non-Cogen,Natural Gas,169 943,1,527
1995,FL,IPP NAICS-22 Cogen,All Sources,6 078 545,21 713,14 092
1995,FL,IPP NAICS-22 Cogen,Coal,3 871 673,21 643,9 238
1995,FL,IPP NAICS-22 Cogen,Natural Gas,2 004 497,15,4 637
1995,FL,IPP NAICS-22 Cogen,Other Gases,268,0,2
1995,FL,IPP NAICS-22 Cogen,Wood and Wood Derived Fuels,0,23,200
1995,FL,IPP NAICS-22 Cogen,Petroleum,202 107,33,17
1995,FL,IPP NAICS-22 Non-Cogen,All Sources,2 596 069,5 142,14 086
1995,FL,IPP NAICS-22 Non-Cogen,Natural Gas,314 828,2,724
1995,FL,IPP NAICS-22 Non-Cogen,Other Gases,3 102,0,1
1995,FL,IPP NAICS-22 Non-Cogen,Other Biomass,0,3,225
1995,FL,IPP NAICS-22 Non-Cogen,Wood and Wood Derived Fuels,0,57,511
1995,FL,IPP NAICS-22 Non-Cogen,Other,2 277 389,5 078,12 623
1995,FL,IPP NAICS-22 Non-Cogen,Petroleum,750,1,3
1995,FL,Total Electric Power Industry,All Sources,105 950 209,608 755,319 303
1995,FL,Total Electric Power Industry,Coal,63 434 831,390 548,210 809
1995,FL,Total Electric Power Industry,Natural Gas,21 233 499,72,19 488
1995,FL,Total Electric Power Industry,Other Gases,3 370,11,297
1995,FL,Total Electric Power Industry,Other Biomass,0,43,1 721
1995,FL,Total Electric Power Industry,Wood and Wood Derived Fuels,0,18 903,7 268
1995,FL,Total Electric Power Industry,Other,2 277 389,5 090,13 497
1995,FL,Total Electric Power Industry,Petroleum,19 001 120,194 082,66 217
1995,GA,Commercial Cogen,All Sources,0,2,13
1995,GA,Commercial Cogen,Petroleum,0,2,13
1995,GA,Commercial Non-Cogen,All Sources,9 187,19,182
1995,GA,Commercial Non-Cogen,Petroleum,9 187,19,182
1995,GA,Electric Utility,All Sources,64 301 099,434 511,154 390
1995,GA,Electric Utility,Coal,63 657 143,431 539,152 723
1995,GA,Electric Utility,Natural Gas,426 104,7,1 045
1995,GA,Electric Utility,Other Biomass,0,40,0
1995,GA,Electric Utility,Wood and Wood Derived Fuels,0,5,60
1995,GA,Electric Utility,Petroleum,217 852,2 919,561
