,loc^ation,rat^e,agency_id,house_id,ho~use_type,rent,contract_id,year
195,"Berlin, Germany",3,21,367,unknown,500,413,2018
250,"Berlin, Germany",2,1,287,apartment,800,411,2018
188,"Lisbon, Portugal",4,14,153,apartment,400,212,2019
117,"Paris, France",0,18,90,apartment,600,4,2019
313,"Lisbon, Portugal",4,14,101,apartment,500,289,2019
262,"Paris, France",2,13,208,apartment,500,100,2018
54,"Rome, Italy",3,5,118,apartment,800,304,2018
110,"Rome, Italy",2,11,108,apartment,600,318,2018
72,"Madrid, Spain",2,23,265,apartment,800,201,2018
118,"Paris, France",5,19,336,unknown,600,306,2018
236,"Lisbon, Portugal",2,12,156,apartment,1000,273,2019
94,"Lisbon, Portugal",2,20,54,apartment,900,417,2019
221,"Lisbon, Portugal",4,22,29,apartment,600,484,2018
277,"Lisbon, Portugal",5,3,256,apartment,900,158,2019
369,"Lisbon, Portugal",2,20,15,apartment,800,478,2019
117,"Paris, France",2,18,90,apartment,600,97,2019
81,"Madrid, Spain",1,7,346,apartment,1000,454,2019
85,"Rome, Italy",2,11,53,apartment,700,320,2019
314,"Berlin, Germany",3,15,155,apartment,600,22,2018
254,"Rome, Italy",3,5,79,house,900,332,2019
160,"Rome, Italy",2,11,369,apartment,900,301,2018
62,"Paris, France",2,13,178,apartment,500,282,2018
9,"Paris, France",4,10,262,apartment,500,247,2019
218,"Paris, France",5,19,70,apartment,500,25,2019
306,"Madrid, Spain",1,7,198,apartment,800,233,2019
320,"Berlin, Germany",3,21,238,apartment,500,463,2019
125,"Berlin, Germany",2,1,25,apartment,700,295,2019
149,"Berlin, Germany",1,25,31,house,800,376,2018
